common_key,full_fips,county,state,population,unemployment_rate,poverty_rate,disability_rate,homeownership_rate,Cost Per Meal ($),insecurity_rate,region,food_insecure_population,annual_budget_shortfall
franklin alabama,1059,Franklin County,AL,31966,0.0246153846153846,0.1793780687397708,0.1669999999999999,0.7240000000000001,3.39,0.1665385957446808,S,5324,3422830
geneva alabama,1061,Geneva County,AL,26887,0.0238461538461538,0.182982159335589,0.23,0.7809999999999999,3.92,0.1758083076686463,S,4727,3509451
greene alabama,1063,Greene County,AL,7424,0.0638461538461538,0.3911838092597726,0.252,0.616,4.13,0.2794022554434753,S,2075,1623138
hale alabama,1065,Hale County,AL,14829,0.04,0.2415852715901904,0.244,0.7440000000000001,4.13,0.2080943101679432,S,3086,2413977
henry alabama,1067,Henry County,AL,17647,0.0261538461538461,0.1790761192257451,0.2269999999999999,0.795,3.92,0.1739850408137166,S,3071,2279993
houston alabama,1069,Houston County,AL,108140,0.0253846153846153,0.1613291176071227,0.171,0.638,3.89,0.1677981901224878,S,18146,13363721
jackson alabama,1071,Jackson County,AL,53053,0.0307692307692307,0.1632488388569629,0.216,0.7509999999999999,3.79,0.1717994606543579,S,9115,6549507
jefferson alabama,1073,Jefferson County,AL,667755,0.0261538461538461,0.1470803990610328,0.154,0.639,4.12,0.1599844617190321,S,106831,83354322
lamar alabama,1075,Lamar County,AL,13693,0.0284615384615384,0.1731268121471082,0.226,0.757,3.47,0.1755714093251476,S,2405,1579697
lauderdale alabama,1077,Lauderdale County,AL,95830,0.0276923076923076,0.1019000188559956,0.1689999999999999,0.6890000000000001,3.72,0.1451122677986521,S,13907,9798994
lawrence alabama,1079,Lawrence County,AL,33276,0.023076923076923,0.1273155416012558,0.196,0.8170000000000001,3.48,0.1476851444270015,S,4915,3238145
lee alabama,1081,Lee County,AL,181134,0.0223076923076923,0.1214288261939579,0.131,0.6629999999999999,4.23,0.1434409087579325,S,25983,20841986
limestone alabama,1083,Limestone County,AL,111233,0.02,0.0960848961387252,0.148,0.7759999999999999,4.14,0.1293081855180567,S,14384,11280300
lowndes alabama,1085,Lowndes County,AL,9833,0.0446153846153846,0.2811266403499413,0.21,0.775,3.9,0.2144121215192574,S,2109,1557382
macon alabama,1087,Macon County,AL,18691,0.0369230769230769,0.2127482383087764,0.173,0.615,4.18,0.1922060305031291,S,3593,2846328
madison alabama,1089,Madison County,AL,405718,0.0207692307692307,0.0907348678959969,0.138,0.6829999999999999,3.94,0.1325088222953171,S,53762,40128363
marengo alabama,1091,Marengo County,AL,18851,0.0353846153846153,0.2086744855056428,0.2189999999999999,0.7020000000000001,3.66,0.1930768522647964,S,3640,2528551
marion alabama,1093,Marion County,AL,29184,0.0292307692307692,0.1451467350106486,0.268,0.768,3.47,0.1741708698696892,S,5084,3339368
marshall alabama,1095,Marshall County,AL,99748,0.02,0.15538230501326,0.163,0.758,3.63,0.1532429252644023,S,15286,10527244
mobile alabama,1097,Mobile County,AL,412590,0.0323076923076923,0.1506150437701437,0.145,0.66,3.82,0.1607157329932262,S,66310,48042452
monroe alabama,1099,Monroe County,AL,19388,0.0476923076923076,0.1930927889996269,0.179,0.7170000000000001,3.57,0.1845802674863376,S,3579,2422062
montgomery alabama,1101,Montgomery County,AL,226718,0.0292307692307692,0.1841073676451583,0.165,0.578,3.84,0.1802017999043464,S,40855,29762613
morgan alabama,1103,Morgan County,AL,124471,0.02,0.125172896601468,0.18,0.727,3.81,0.1487804016716874,S,18519,13380394
perry alabama,1105,Perry County,AL,8031,0.0576923076923076,0.2966878083157153,0.23,0.775,3.66,0.2295538138992791,S,1844,1280947
pickens alabama,1107,Pickens County,AL,18721,0.0346153846153846,0.185955158034689,0.222,0.758,3.89,0.1817981893905937,S,3404,2506895
pike alabama,1109,Pike County,AL,32987,0.03,0.1751919027239997,0.152,0.613,3.99,0.1725367117043679,S,5692,4305199
randolph alabama,1111,Randolph County,AL,22510,0.0323076923076923,0.1937190082644628,0.1639999999999999,0.772,3.58,0.1708362492053401,S,3846,2610408
russell alabama,1113,Russell County,AL,58811,0.0315384615384615,0.2087233512474641,0.198,0.613,3.72,0.1934848449218504,S,11380,8018448
st. clair alabama,1115,St. Clair County,AL,94166,0.02,0.1058121368116984,0.1669999999999999,0.826,3.96,0.1327496294214839,S,12501,9380606
shelby alabama,1117,Shelby County,AL,230211,0.02,0.0672817866439339,0.122,0.8140000000000001,4.24,0.1118995531657861,S,25761,20715186
sumter alabama,1119,Sumter County,AL,11878,0.0415384615384615,0.2438397257338761,0.213,0.6679999999999999,3.59,0.2088084812513392,S,2481,1688876
talladega alabama,1121,Talladega County,AL,81021,0.03,0.1707024054248872,0.213,0.72,3.78,0.1755271986010625,S,14222,10190792
tallapoosa alabama,1123,Tallapoosa County,AL,40938,0.0292307692307692,0.1586132566912161,0.212,0.7609999999999999,3.81,0.1680507550676376,S,6880,4970955
tuscaloosa alabama,1125,Tuscaloosa County,AL,237552,0.0261538461538461,0.1175402831690357,0.132,0.614,4.2,0.147596143242889,S,35062,27915245
walker alabama,1127,Walker County,AL,64841,0.0253846153846153,0.17639119263668,0.222,0.7609999999999999,3.6,0.1741637990323008,S,11293,7709891
washington alabama,1129,Washington County,AL,15143,0.0307692307692307,0.16888252539715,0.147,0.858,3.52,0.1524108445856999,S,2308,1538953
wilcox alabama,1131,Wilcox County,AL,10172,0.0538461538461538,0.268,0.211,0.774,3.63,0.2145692307692308,S,2183,1503400
winston alabama,1133,Winston County,AL,23682,0.0269230769230769,0.181094306049822,0.2289999999999999,0.758,3.42,0.1780319249931563,S,4217,2736314
aleutians east alaska,2013,Aleutians East Borough,AK,3491,0.0292307692307692,0.1265113535830138,0.126,0.642,4.99,0.1488139232357144,W,520,491475
aleutians west census area alaska,2016,Aleutians West Census Area,AK,5235,0.0315384615384615,0.108743278231428,0.144,0.335,4.99,0.1693374606805264,W,887,838342
anchorage alaska,2020,Anchorage Municipality,AK,288976,0.033076923076923,0.0833810383548372,0.126,0.639,4.71,0.1364768893491906,W,39439,35217831
bethel census area alaska,2050,Bethel Census Area,AK,18394,0.113076923076923,0.2480301070210513,0.12,0.616,5.28,0.2283853801463736,W,4201,4206587
bristol bay alaska,2060,Bristol Bay Borough,AK,918,0.0515384615384615,0.0956221198156682,0.143,0.536,4.99,0.1597122360864941,W,147,138936
chugach census area alaska,2063,Chugach Census Area,AK,6862,0.0546153846153846,0.0549639837143752,0.149,0.638,4.71,0.1415751195162495,W,972,867967
copper river census area alaska,2066,Copper River Census Area,AK,2626,0.0884615384615384,0.0854531001589825,0.193,0.685,4.88,0.1726417369450898,W,454,419985
denali alaska,2068,Denali Borough,AK,1969,0.0661538461538461,0.065928270042194,0.085,0.65,4.69,0.1369989548847776,W,270,240018
dillingham census area alaska,2070,Dillingham Census Area,AK,4724,0.0723076923076923,0.1908174692049272,0.1169999999999999,0.614,5.28,0.1901849382375743,W,899,900196
fairbanks north star alaska,2090,Fairbanks North Star Borough,AK,95460,0.0361538461538461,0.0556431705979155,0.145,0.617,4.69,0.1340073018692772,W,12793,11372418
haines alaska,2100,Haines Borough,AK,2086,0.0876923076923077,0.0502194051682106,0.195,0.785,4.79,0.1538863040543074,W,322,292060
hoonah-angoon census area alaska,2105,Hoonah-Angoon Census Area,AK,2311,0.0669230769230769,0.141275465013286,0.208,0.72,4.84,0.1817520697690264,W,421,386078
juneau alaska,2110,Juneau City and Borough,AK,31794,0.0307692307692307,0.0817764776278173,0.1169999999999999,0.636,4.76,0.1333136367262815,W,4239,3827830
kenai peninsula alaska,2122,Kenai Peninsula Borough,AK,60413,0.0484615384615384,0.1155963946270122,0.173,0.77,5.13,0.1542543107084757,W,9319,9069592
ketchikan gateway alaska,2130,Ketchikan Gateway Borough,AK,13768,0.0392307692307692,0.087137557725793,0.138,0.6859999999999999,4.66,0.1395938230111171,W,1922,1697003
kodiak island alaska,2150,Kodiak Island Borough,AK,12771,0.0423076923076923,0.082992743348069,0.089,0.611,4.99,0.1352561292530974,W,1728,1633207
kusilvak census area alaska,2158,Kusilvak Census Area,AK,8176,0.1715384615384615,0.320572881809664,0.136,0.698,4.99,0.2767078890685008,W,2263,2138859
lake and peninsula alaska,2164,Lake and Peninsula Borough,AK,1013,0.0553846153846153,0.1269349845201238,0.115,0.654,4.99,0.1579553379376042,W,161,152168
matanuska-susitna alaska,2170,Matanuska-Susitna Borough,AK,112988,0.0469230769230769,0.0947429829596243,0.14,0.772,4.88,0.1399472857272106,W,15813,14628233
nome census area alaska,2180,Nome Census Area,AK,9866,0.0876923076923077,0.2123552123552123,0.1119999999999999,0.6679999999999999,4.92,0.199588392040392,W,1970,1838213
north slope alaska,2185,North Slope Borough,AK,10810,0.03,0.103716676396186,0.129,0.491,4.69,0.1529149365635337,W,1654,1470333
northwest arctic alaska,2188,Northwest Arctic Borough,AK,7441,0.0923076923076923,0.1732238074650526,0.1169999999999999,0.644,4.69,0.1914138425399359,W,1425,1266763
petersburg alaska,2195,Petersburg Borough,AK,3409,0.0561538461538461,0.0687814070351758,0.157,0.657,4.82,0.1471051963664476,W,502,458345
prince of wales-hyder census area alaska,2198,Prince of Wales-Hyder Census Area,AK,5715,0.0792307692307692,0.124340069178955,0.209,0.706,4.54,0.1829830568135669,W,1046,900463
sitka alaska,2220,Sitka City and Borough,AK,8368,0.0269230769230769,0.0632212744606121,0.187,0.617,4.82,0.1405930785055386,W,1177,1074644
skagway alaska,2230,Skagway Municipality,AK,1244,0.0961538461538461,0.0583819849874895,0.209,0.7090000000000001,4.76,0.1686565882466157,W,210,189630
southeast fairbanks census area alaska,2240,Southeast Fairbanks Census Area,AK,7068,0.0615384615384615,0.1262488646684832,0.135,0.747,4.69,0.1579153153776287,W,1117,992964
wrangell alaska,2275,Wrangell City and Borough,AK,2088,0.0492307692307692,0.1125628140703517,0.196,0.591,4.86,0.1708640081175106,W,357,328820
yakutat alaska,2282,Yakutat City and Borough,AK,527,0.0461538461538461,0.1196911196911196,0.121,0.563,4.76,0.158953220968221,W,84,75852
yukon-koyukuk census area alaska,2290,Yukon-Koyukuk Census Area,AK,5195,0.0961538461538461,0.1558102131081624,0.184,0.6990000000000001,4.69,0.1967627599826791,W,1023,909402
apache arizona,4001,Apache County,AZ,65341,0.0738461538461538,0.290482575892208,0.132,0.794,3.82,0.2141714459654438,W,13995,10138105
cochise arizona,4003,Cochise County,AZ,125566,0.0446153846153846,0.1437517766541188,0.192,0.71,3.58,0.1698546667722444,W,21328,14465836
coconino arizona,4005,Coconino County,AZ,144508,0.0392307692307692,0.1329605201754659,0.134,0.597,4.07,0.1603340465444085,W,23170,17853935
gila arizona,4007,Gila County,AZ,53795,0.0369230769230769,0.159873933129747,0.23,0.775,3.71,0.1745777611836914,W,9392,6596337
graham arizona,4009,Graham County,AZ,39232,0.0323076923076923,0.162741021332346,0.161,0.731,3.61,0.1628685575438773,W,6390,4372522
greenlee arizona,4011,Greenlee County,AZ,9409,0.0215384615384615,0.0818493529476827,0.156,0.53,3.61,0.144339677486323,W,1359,929931
la paz arizona,4012,La Paz County,AZ,16664,0.0553846153846153,0.1634853743182945,0.2319999999999999,0.721,3.75,0.1884990673505968,W,3142,2231959
maricopa arizona,4013,Maricopa County,AZ,4559748,0.0323076923076923,0.101083517601121,0.122,0.652,3.79,0.1402852663051106,W,639666,459529065
mohave arizona,4015,Mohave County,AZ,220517,0.0446153846153846,0.1546363472980259,0.2189999999999999,0.741,3.75,0.1766133442260215,W,38947,27666483
navajo arizona,4017,Navajo County,AZ,108415,0.0553846153846153,0.2387963397465978,0.175,0.732,3.68,0.2014353078727936,W,21839,15250662
pima arizona,4019,Pima County,AZ,1060490,0.0361538461538461,0.1242111960302517,0.15,0.652,3.72,0.1552768863128128,W,164670,115984057
pinal arizona,4021,Pinal County,AZ,469006,0.0376923076923076,0.1045186129036677,0.172,0.8170000000000001,3.64,0.1420876410224792,W,66640,46001302
santa cruz arizona,4023,Santa Cruz County,AZ,48926,0.0615384615384615,0.1930560854635635,0.133,0.693,3.11,0.1835333126815954,W,8980,5297859
yavapai arizona,4025,Yavapai County,AZ,245480,0.0353846153846153,0.1107635018745566,0.186,0.7509999999999999,4.03,0.1505574056992759,W,36959,28256728
yuma arizona,4027,Yuma County,AZ,211741,0.1315384615384615,0.1465062135585259,0.136,0.71,3.38,0.1996657552091229,W,42278,27063366
arkansas arkansas,5001,Arkansas County,AR,16515,0.0376923076923076,0.1765082618163186,0.208,0.6459999999999999,3.32,0.1852572044614793,S,3060,1924656
ashley arkansas,5003,Ashley County,AR,18429,0.0569230769230769,0.2152170231980583,0.253,0.708,3.34,0.2114626670863707,S,3898,2467254
baxter arkansas,5005,Baxter County,AR,42407,0.0361538461538461,0.1494541991257418,0.255,0.752,3.7,0.1773475633405155,S,7521,5269422
benton arkansas,5007,Benton County,AR,303632,0.0253846153846153,0.0699301669197855,0.1009999999999999,0.67,3.72,0.1213217384942918,S,36838,25956376
boone arkansas,5009,Boone County,AR,38138,0.0338461538461538,0.1108711106250341,0.195,0.708,3.61,0.1547204394967421,S,5901,4040442
bradley arkansas,5011,Bradley County,AR,10208,0.0538461538461538,0.1982477587612062,0.231,0.66,3.45,0.2034654866779512,S,2077,1360120
calhoun arkansas,5013,Calhoun County,AR,4704,0.0369230769230769,0.1019108280254777,0.222,0.878,3.4,0.146437010289074,S,689,444334
carroll arkansas,5015,Carroll County,AR,28626,0.0338461538461538,0.1698244585333675,0.163,0.775,3.64,0.1631999510023088,S,4672,3226837
chicot arkansas,5017,Chicot County,AR,9765,0.0561538461538461,0.2224631891336605,0.237,0.6920000000000001,3.58,0.2114825480231445,S,2066,1402262
clark arkansas,5019,Clark County,AR,21125,0.0407692307692307,0.1711666104173697,0.191,0.65,3.5,0.1812491608124129,S,3829,2537899
clay arkansas,5021,Clay County,AR,14280,0.0353846153846153,0.1694816114645024,0.22,0.747,3.29,0.1770678180831378,S,2529,1575571
cleburne arkansas,5023,Cleburne County,AR,25226,0.0369230769230769,0.1331291137144513,0.2239999999999999,0.8059999999999999,3.63,0.1623094811378132,S,4095,2820166
cleveland arkansas,5025,Cleveland County,AR,7453,0.0361538461538461,0.1493667400881057,0.246,0.826,3.34,0.1702825269400203,S,1270,803851
columbia arkansas,5027,Columbia County,AR,22349,0.0407692307692307,0.191511174902604,0.2019999999999999,0.7070000000000001,3.54,0.1861345562215107,S,4160,2790410
conway arkansas,5029,Conway County,AR,21054,0.0353846153846153,0.1833855020619069,0.221,0.741,3.4,0.1823079097614761,S,3839,2475756
craighead arkansas,5031,Craighead County,AR,113249,0.0315384615384615,0.1832905861119027,0.195,0.601,3.52,0.185299166896844,S,20985,13992604
crawford arkansas,5033,Crawford County,AR,61139,0.0346153846153846,0.1430364727529104,0.196,0.755,3.5,0.1626141858770432,S,9943,6590318
crittenden arkansas,5035,Crittenden County,AR,47266,0.0469230769230769,0.1946857091690544,0.176,0.574,3.54,0.1943142708287415,S,9185,6161037
cross arkansas,5037,Cross County,AR,16543,0.0361538461538461,0.1900343205796364,0.187,0.675,3.28,0.1828231636632085,S,3025,1878559
dallas arkansas,5039,Dallas County,AR,6242,0.0353846153846153,0.131641689373297,0.319,0.726,3.42,0.1855979639488577,S,1159,752048
desha arkansas,5041,Desha County,AR,10786,0.0638461538461538,0.2618424876489392,0.222,0.568,3.54,0.2339289366686786,S,2524,1693028
drew arkansas,5043,Drew County,AR,17046,0.04,0.1909125620465826,0.212,0.637,3.36,0.1925319705994655,S,3282,2090419
faulkner arkansas,5045,Faulkner County,AR,127717,0.0269230769230769,0.1165731881667216,0.144,0.623,3.66,0.149365913855967,S,19077,13251965
franklin arkansas,5047,Franklin County,AR,17326,0.0353846153846153,0.1735938353255263,0.217,0.78,3.37,0.1754960764049978,S,3041,1942971
fulton arkansas,5049,Fulton County,AR,12302,0.0423076923076923,0.1655084745762712,0.261,0.847,3.45,0.1799513520208605,S,2214,1449834
garland arkansas,5051,Garland County,AR,100035,0.0353846153846153,0.1533613664583311,0.2239999999999999,0.6940000000000001,3.65,0.176270896741089,S,17634,12214476
grant arkansas,5053,Grant County,AR,18242,0.0269230769230769,0.1229994910365888,0.191,0.807,3.83,0.1477414464087629,S,2696,1958653
greene arkansas,5055,Greene County,AR,46432,0.0361538461538461,0.1624752429643959,0.211,0.662,3.36,0.1793485498949487,S,8328,5304390
hempstead arkansas,5057,Hempstead County,AR,19508,0.0353846153846153,0.1915905528833162,0.24,0.7170000000000001,3.58,0.190497986634184,S,3717,2522851
hot spring arkansas,5059,Hot Spring County,AR,33180,0.0353846153846153,0.1450888367415353,0.2339999999999999,0.765,3.37,0.1704634168751128,S,5656,3613759
howard arkansas,5061,Howard County,AR,12583,0.0384615384615384,0.209826686858489,0.203,0.725,3.58,0.190073767729326,S,2392,1623530
independence arkansas,5063,Independence County,AR,38175,0.0284615384615384,0.1928753465707004,0.195,0.6920000000000001,3.49,0.1806049227537802,S,6895,4556350
izard arkansas,5065,Izard County,AR,14009,0.0569230769230769,0.2143825241170374,0.236,0.754,3.66,0.2045536133914718,S,2866,1990886
jackson arkansas,5067,Jackson County,AR,16712,0.0384615384615384,0.2093902173123046,0.226,0.655,3.51,0.1994528598399928,S,3334,2216444
jefferson arkansas,5069,Jefferson County,AR,64802,0.0507692307692307,0.1727520435967302,0.205,0.618,3.33,0.1914195246279606,S,12405,7827099
johnson arkansas,5071,Johnson County,AR,26003,0.0446153846153846,0.1861147866357922,0.213,0.741,3.38,0.18587618608616,S,4834,3098184
lafayette arkansas,5073,Lafayette County,AR,6136,0.0484615384615384,0.2204671483784238,0.242,0.7929999999999999,3.53,0.2011004009539443,S,1234,825276
lawrence arkansas,5075,Lawrence County,AR,16238,0.0353846153846153,0.1937151949085123,0.242,0.6659999999999999,3.57,0.1952203677865491,S,3170,2145275
lee arkansas,5077,Lee County,AR,8359,0.0553846153846153,0.3682741510311676,0.28,0.59,3.21,0.2752939412192707,S,2302,1402075
lincoln arkansas,5079,Lincoln County,AR,12950,0.0492307692307692,0.1465446439047283,0.186,0.7609999999999999,3.35,0.1680959756225236,S,2177,1382273
little river arkansas,5081,Little River County,AR,11821,0.0353846153846153,0.146945019346711,0.176,0.8009999999999999,3.51,0.1570396695000311,S,1857,1234534
logan arkansas,5083,Logan County,AR,21277,0.0369230769230769,0.1389880224883891,0.21,0.784,3.37,0.1630446388507606,S,3470,2217069
lonoke arkansas,5085,Lonoke County,AR,75272,0.0269230769230769,0.0973163684853872,0.157,0.75,3.69,0.1365296497217639,S,10277,7179897
madison arkansas,5087,Madison County,AR,17329,0.0261538461538461,0.1288391777509069,0.1989999999999999,0.795,3.64,0.1517623762440703,S,2630,1816478
marion arkansas,5089,Marion County,AR,17228,0.0523076923076923,0.1749924676107261,0.249,0.813,3.72,0.1877380377082995,S,3235,2279409
miller arkansas,5091,Miller County,AR,42360,0.0415384615384615,0.2295044646244909,0.203,0.644,3.59,0.2037731745630233,S,8632,5876007
mississippi arkansas,5093,Mississippi County,AR,39126,0.04,0.1991846718304117,0.2289999999999999,0.6,3.4,0.2012713110476967,S,7875,5078557
monroe arkansas,5095,Monroe County,AR,6589,0.0476923076923076,0.1952171791117618,0.245,0.626,3.18,0.2048145650035664,S,1350,814181
montgomery arkansas,5097,Montgomery County,AR,8553,0.0438461538461538,0.2190394929302779,0.2789999999999999,0.8059999999999999,3.71,0.204906342422083,S,1753,1231690
nevada arkansas,5099,Nevada County,AR,8159,0.0484615384615384,0.1909722222222222,0.249,0.76,3.52,0.1950370854700854,S,1592,1061531
newton arkansas,5101,Newton County,AR,7112,0.0407692307692307,0.1471361776738749,0.19,0.765,3.61,0.1649080571415726,S,1173,803159
ouachita arkansas,5103,Ouachita County,AR,22085,0.0438461538461538,0.1829675572519083,0.268,0.7090000000000001,3.43,0.1976394597768643,S,4365,2841036
perry arkansas,5105,Perry County,AR,10101,0.0369230769230769,0.1369286081150487,0.211,0.804,3.43,0.1611389132788116,S,1628,1059612
phillips arkansas,5107,Phillips County,AR,15450,0.0615384615384615,0.2783274600162645,0.249,0.512,3.41,0.2476624090330921,S,3827,2475635
pike arkansas,5109,Pike County,AR,10115,0.0353846153846153,0.1901445056658696,0.193,0.75,3.52,0.1783688989579918,S,1805,1203557
poinsett arkansas,5111,Poinsett County,AR,22543,0.0353846153846153,0.1913545480146437,0.255,0.644,3.24,0.1985726330177848,S,4477,2753533
polk arkansas,5113,Polk County,AR,19361,0.0361538461538461,0.1561889250814332,0.217,0.789,3.51,0.1694324923578051,S,3281,2181210
pope arkansas,5115,Pope County,AR,64131,0.04,0.1538029224428625,0.177,0.7040000000000001,3.48,0.1685245702510303,S,10808,7120625
prairie arkansas,5117,Prairie County,AR,8064,0.0323076923076923,0.1209740769835035,0.2289999999999999,0.758,3.69,0.1605489320200616,S,1295,904736
pulaski arkansas,5119,Pulaski County,AR,399818,0.0346153846153846,0.1569473012645896,0.16,0.57,3.77,0.1732395809429207,S,69265,49494056
randolph arkansas,5121,Randolph County,AR,18838,0.0338461538461538,0.2082575068243858,0.246,0.735,3.36,0.1952337230349268,S,3678,2342644
st. francis arkansas,5123,St. Francis County,AR,22400,0.0507692307692307,0.2680258312429951,0.238,0.555,3.28,0.2340574221265205,S,5243,3255961
saline arkansas,5125,Saline County,AR,127479,0.0261538461538461,0.0874054133906734,0.159,0.782,3.8,0.1310093664764728,S,16701,12033607
scott arkansas,5127,Scott County,AR,9816,0.0323076923076923,0.1872667164338274,0.1969999999999999,0.7809999999999999,3.37,0.1745890883175692,S,1714,1095117
searcy arkansas,5129,Searcy County,AR,7859,0.0369230769230769,0.2227696404793608,0.256,0.794,3.71,0.1992581360237632,S,1566,1100301
sebastian arkansas,5131,Sebastian County,AR,128900,0.0338461538461538,0.1519044380904003,0.2239999999999999,0.614,3.47,0.1807595042152437,S,23300,15304340
sevier arkansas,5133,Sevier County,AR,15712,0.0261538461538461,0.164095744680851,0.179,0.6759999999999999,3.55,0.1679565564648118,S,2639,1775419
sharp arkansas,5135,Sharp County,AR,17773,0.0369230769230769,0.1652435074495024,0.246,0.7879999999999999,3.5,0.1786054598578502,S,3175,2104421
stone arkansas,5137,Stone County,AR,12568,0.0469230769230769,0.186059860598606,0.283,0.759,3.63,0.1995014891033526,S,2508,1727223
union arkansas,5139,Union County,AR,37900,0.0492307692307692,0.1826375711574952,0.174,0.727,3.51,0.1801168274704423,S,6827,4538592
van buren arkansas,5141,Van Buren County,AR,15998,0.0446153846153846,0.1859880007741436,0.246,0.779,3.63,0.1896700931800926,S,3035,2090160
washington arkansas,5143,Washington County,AR,256765,0.0261538461538461,0.1109079368282112,0.11,0.556,3.77,0.1451562042577353,S,37272,26633112
white arkansas,5145,White County,AR,77838,0.0353846153846153,0.1621927644297155,0.204,0.691,3.48,0.1754559208675886,S,13658,8998287
woodruff arkansas,5147,Woodruff County,AR,6026,0.0338461538461538,0.2241167164703814,0.192,0.647,3.49,0.1960549806373974,S,1182,781088
yell arkansas,5149,Yell County,AR,20134,0.033076923076923,0.1449397844918656,0.168,0.675,3.3,0.162674393066684,S,3276,2047474
alameda california,6001,Alameda County,CA,1649473,0.0423076923076923,0.081423654189969,0.103,0.544,4.61,0.1422641916526081,W,234661,204836273
alpine california,6003,Alpine County,CA,1616,0.0784615384615384,0.086427656850192,0.114,0.782,4.15,0.1458362897665714,W,236,185641
amador california,6005,Amador County,CA,41428,0.0538461538461538,0.0811213434452871,0.162,0.804,4.64,0.1406935167930661,W,5829,5123242
