County,Population,Poverty,Poverty_Ugstudents,
"LaPorte County, Indiana",,,,
    Estimate,"100,829","13,461",308,
"Lawrence County, Indiana",,,,
    Estimate,"43,001","5,173",66,
"Madison County, Indiana",,,,
    Estimate,"122,190","15,934",343,
"Marion County, Indiana",,,,
    Estimate,"918,268","137,517","7,683",
"Marshall County, Indiana",,,,
    Estimate,"44,303","5,153",121,
"Martin County, Indiana",,,,
    Estimate,"9,355","1,509",62,
"Miami County, Indiana",,,,
    Estimate,"32,346","4,736",258,
"Monroe County, Indiana",,,,
    Estimate,"123,182","24,336","10,293",
"Montgomery County, Indiana",,,,
    Estimate,"35,708","3,715",85,
"Morgan County, Indiana",,,,
    Estimate,"69,530","6,443",105,
"Newton County, Indiana",,,,
    Estimate,"13,415","1,843",4,
"Noble County, Indiana",,,,
    Estimate,"44,670","3,854",106,
"Ohio County, Indiana",,,,
    Estimate,"5,793",482,29,
"Orange County, Indiana",,,,
    Estimate,"18,759","2,442",46,
"Owen County, Indiana",,,,
    Estimate,"20,614","2,497",98,
"Parke County, Indiana",,,,
    Estimate,"14,910","2,372",33,
"Perry County, Indiana",,,,
    Estimate,"17,282","2,522",125,
"Pike County, Indiana",,,,
    Estimate,"11,565","1,249",21,
"Porter County, Indiana",,,,
    Estimate,"166,770","15,859",785,
"Posey County, Indiana",,,,
    Estimate,"24,068","2,353",68,
"Pulaski County, Indiana",,,,
    Estimate,"11,784","1,394",73,
"Putnam County, Indiana",,,,
    Estimate,"31,795","2,751",165,
"Randolph County, Indiana",,,,
    Estimate,"23,072","3,592",107,
"Ripley County, Indiana",,,,
    Estimate,"27,537","2,627",30,
"Rush County, Indiana",,,,
    Estimate,"15,973","1,889",11,
"St. Joseph County, Indiana",,,,
    Estimate,"251,981","35,256","1,938",
"Scott County, Indiana",,,,
    Estimate,"23,100","3,624",69,
"Shelby County, Indiana",,,,
    Estimate,"42,812","5,319",139,
"Spencer County, Indiana",,,,
    Estimate,"19,035","1,420",23,
"Starke County, Indiana",,,,
    Estimate,"22,439","3,041",49,
"Steuben County, Indiana",,,,
    Estimate,"32,002","2,954",170,
"Sullivan County, Indiana",,,,
    Estimate,"18,129","2,424",37,
"Switzerland County, Indiana",,,,
    Estimate,"9,410","1,138",22,
"Tippecanoe County, Indiana",,,,
    Estimate,"167,132","31,801","12,900",
"Tipton County, Indiana",,,,
    Estimate,"14,677","1,593",120,
"Union County, Indiana",,,,
    Estimate,"6,643",575,0,
"Vanderburgh County, Indiana",,,,
    Estimate,"168,577","23,700","1,696",
"Vermillion County, Indiana",,,,
    Estimate,"14,719","2,201",73,
"Vigo County, Indiana",,,,
    Estimate,"95,152","17,999","3,062",
"Wabash County, Indiana",,,,
    Estimate,"28,505","3,141",60,
"Warren County, Indiana",,,,
    Estimate,"8,133",907,14,
"Warrick County, Indiana",,,,
    Estimate,"62,519","4,404",297,
"Washington County, Indiana",,,,
    Estimate,"26,831","3,905",224,
"Wayne County, Indiana",,,,
    Estimate,"62,134","10,879",720,
"Wells County, Indiana",,,,
    Estimate,"26,861","1,905",20,
"White County, Indiana",,,,
    Estimate,"23,585","2,368",124,
"Whitley County, Indiana",,,,
    Estimate,"32,982","3,137",89,
"Adair County, Iowa",,,,
    Estimate,"7,021",655,45,
"Adams County, Iowa",,,,
    Estimate,"3,447",309,6,
"Allamakee County, Iowa",,,,
    Estimate,"13,412","1,330",53,
"Appanoose County, Iowa",,,,
    Estimate,"11,629","2,070",84,
"Audubon County, Iowa",,,,
    Estimate,"5,289",633,4,
"Benton County, Iowa",,,,
    Estimate,"24,322","1,803",60,
"Black Hawk County, Iowa",,,,
    Estimate,"121,373","17,795","4,038",
"Boone County, Iowa",,,,
    Estimate,"25,381","1,523",142,
"Bremer County, Iowa",,,,
    Estimate,"22,828","1,667",285,
"Buchanan County, Iowa",,,,
    Estimate,"19,704","1,732",18,
"Buena Vista County, Iowa",,,,
    Estimate,"19,051","1,484",117,
"Butler County, Iowa",,,,
    Estimate,"13,586","1,258",47,
"Calhoun County, Iowa",,,,
    Estimate,"8,842",833,25,
"Carroll County, Iowa",,,,
    Estimate,"19,541","1,574",63,
"Cass County, Iowa",,,,
    Estimate,"12,519","1,757",37,
"Cedar County, Iowa",,,,
    Estimate,"17,500","1,259",10,
"Cerro Gordo County, Iowa",,,,
    Estimate,"40,522","4,324",129,
"Cherokee County, Iowa",,,,
    Estimate,"10,943","1,297",42,
"Chickasaw County, Iowa",,,,
    Estimate,"11,185",981,24,
"Clarke County, Iowa",,,,
    Estimate,"9,031",848,7,
"Clay County, Iowa",,,,
    Estimate,"15,578","1,592",118,
"Clayton County, Iowa",,,,
    Estimate,"16,104","1,771",23,
"Clinton County, Iowa",,,,
    Estimate,"43,852","5,755",145,
"Crawford County, Iowa",,,,
    Estimate,"15,537","2,314",182,
"Dallas County, Iowa",,,,
    Estimate,"103,104","6,569",230,
"Davis County, Iowa",,,,
    Estimate,"8,585",584,3,
"Decatur County, Iowa",,,,
    Estimate,"6,817",948,47,
"Delaware County, Iowa",,,,
    Estimate,"16,823","1,315",17,
"Des Moines County, Iowa",,,,
    Estimate,"36,557","4,558",144,
"Dickinson County, Iowa",,,,
    Estimate,"17,185","1,261",69,
"Dubuque County, Iowa",,,,
    Estimate,"91,911","8,770",701,
"Emmet County, Iowa",,,,
    Estimate,"8,513",833,34,
"Fayette County, Iowa",,,,
    Estimate,"17,939","2,179",175,
"Floyd County, Iowa",,,,
    Estimate,"14,610","1,670",34,
"Franklin County, Iowa",,,,
    Estimate,"9,341","1,195",111,
"Fremont County, Iowa",,,,
    Estimate,"6,207",482,11,
"Greene County, Iowa",,,,
    Estimate,"8,330",816,20,
"Grundy County, Iowa",,,,
    Estimate,"11,883",783,45,
"Guthrie County, Iowa",,,,
    Estimate,"10,274","1,010",60,
"Hamilton County, Iowa",,,,
    Estimate,"14,196","1,057",33,
"Hancock County, Iowa",,,,
    Estimate,"10,068","1,194",11,
"Hardin County, Iowa",,,,
    Estimate,"15,571","1,463",27,
"Harrison County, Iowa",,,,
    Estimate,"13,931",962,17,
"Henry County, Iowa",,,,
    Estimate,"17,797","2,093",150,
"Howard County, Iowa",,,,
    Estimate,"8,938",793,0,
"Humboldt County, Iowa",,,,
    Estimate,"9,105","1,159",12,
"Ida County, Iowa",,,,
    Estimate,"6,524",725,46,
"Iowa County, Iowa",,,,
    Estimate,"15,693","1,341",47,
"Jackson County, Iowa",,,,
    Estimate,"18,503","1,761",39,
"Jasper County, Iowa",,,,
    Estimate,"35,192","2,862",125,
"Jefferson County, Iowa",,,,
    Estimate,"14,164","2,118",170,
"Johnson County, Iowa",,,,
    Estimate,"143,823","24,838","12,171",
"Jones County, Iowa",,,,
    Estimate,"19,055","2,266",10,
"Keokuk County, Iowa",,,,
    Estimate,"9,487","1,161",11,
"Kossuth County, Iowa",,,,
    Estimate,"13,745","1,085",48,
"Lee County, Iowa",,,,
    Estimate,"30,521","4,018",178,
"Linn County, Iowa",,,,
    Estimate,"217,376","20,250","2,393",
"Louisa County, Iowa",,,,
    Estimate,"10,174",967,13,
"Lucas County, Iowa",,,,
    Estimate,"8,383","1,223",16,
"Lyon County, Iowa",,,,
    Estimate,"11,474",633,14,
"Madison County, Iowa",,,,
    Estimate,"16,197","1,130",23,
"Mahaska County, Iowa",,,,
    Estimate,"20,474","2,617",142,
"Marion County, Iowa",,,,
    Estimate,"30,793","2,584",105,
"Marshall County, Iowa",,,,
    Estimate,"37,473","4,135",92,
"Mills County, Iowa",,,,
    Estimate,"14,074","1,161",37,
"Mitchell County, Iowa",,,,
    Estimate,"9,917",926,45,
"Monona County, Iowa",,,,
    Estimate,"8,016",846,14,
"Monroe County, Iowa",,,,
    Estimate,"7,118",673,12,
"Montgomery County, Iowa",,,,
    Estimate,"9,579","1,404",16,
"Muscatine County, Iowa",,,,
    Estimate,"40,451","5,455",223,
"O'Brien County, Iowa",,,,
    Estimate,"13,215","1,660",112,
"Osceola County, Iowa",,,,
    Estimate,"5,768",876,19,
"Page County, Iowa",,,,
    Estimate,"13,614","1,852",48,
"Palo Alto County, Iowa",,,,
    Estimate,"8,155",964,35,
"Plymouth County, Iowa",,,,
    Estimate,"24,603","1,723",27,
"Pocahontas County, Iowa",,,,
    Estimate,"6,607",706,98,
"Polk County, Iowa",,,,
    Estimate,"475,556","48,182","3,508",
"Pottawattamie County, Iowa",,,,
    Estimate,"87,716","10,474",410,
"Poweshiek County, Iowa",,,,
    Estimate,"16,380","1,707",148,
"Ringgold County, Iowa",,,,
    Estimate,"4,321",390,26,
"Sac County, Iowa",,,,
    Estimate,"9,229",851,12,
"Scott County, Iowa",,,,
    Estimate,"164,732","18,521","1,135",
"Shelby County, Iowa",,,,
    Estimate,"11,157",875,18,
"Sioux County, Iowa",,,,
    Estimate,"32,342","2,092",309,
"Story County, Iowa",,,,
    Estimate,"85,263","15,556","9,326",
"Tama County, Iowa",,,,
    Estimate,"15,899","2,371",15,
"Taylor County, Iowa",,,,
    Estimate,"5,564",633,36,
"Union County, Iowa",,,,
    Estimate,"11,338","1,388",172,
"Van Buren County, Iowa",,,,
    Estimate,"6,827","1,038",4,
"Wapello County, Iowa",,,,
    Estimate,"33,255","5,268",282,
"Warren County, Iowa",,,,
    Estimate,"50,963","2,698",52,
"Washington County, Iowa",,,,
    Estimate,"21,229","1,690",109,
"Wayne County, Iowa",,,,
    Estimate,"6,163",599,8,
"Webster County, Iowa",,,,
    Estimate,"32,912","4,301",338,
"Winnebago County, Iowa",,,,
    Estimate,"9,707","1,082",26,
"Winneshiek County, Iowa",,,,
    Estimate,"17,459","1,503",86,
"Woodbury County, Iowa",,,,
    Estimate,"99,426","13,617",434,
"Worth County, Iowa",,,,
    Estimate,"7,041",552,4,
"Wright County, Iowa",,,,
    Estimate,"12,129","1,965",85,
"Allen County, Kansas",,,,
    Estimate,"11,480","1,108",54,
"Anderson County, Kansas",,,,
    Estimate,"7,400",826,0,
"Atchison County, Kansas",,,,
    Estimate,"14,092","1,848",290,
"Barber County, Kansas",,,,
    Estimate,"3,872",449,22,
"Barton County, Kansas",,,,
    Estimate,"23,581","3,472",120,
"Bourbon County, Kansas",,,,
    Estimate,"13,398","1,784",30,
"Brown County, Kansas",,,,
    Estimate,"8,771","1,188",23,
"Butler County, Kansas",,,,
    Estimate,"63,183","5,362",188,
"Chase County, Kansas",,,,
    Estimate,"2,351",185,13,
"Chautauqua County, Kansas",,,,
    Estimate,"3,216",480,25,
"Cherokee County, Kansas",,,,
    Estimate,"18,173","2,562",124,
"Cheyenne County, Kansas",,,,
    Estimate,"2,466",406,17,
"Clark County, Kansas",,,,
    Estimate,"1,847",176,2,
"Clay County, Kansas",,,,
    Estimate,"7,623",960,6,
"Cloud County, Kansas",,,,
    Estimate,"8,090",817,62,
"Coffey County, Kansas",,,,
    Estimate,"7,965",857,54,
"Comanche County, Kansas",,,,
    Estimate,"1,634",142,1,
"Cowley County, Kansas",,,,
    Estimate,"31,222","4,465",88,
"Crawford County, Kansas",,,,
    Estimate,"35,969","7,350","1,498",
"Decatur County, Kansas",,,,
    Estimate,"2,592",331,8,
"Dickinson County, Kansas",,,,
    Estimate,"17,466","1,405",41,
"Doniphan County, Kansas",,,,
    Estimate,"6,551",643,6,
"Douglas County, Kansas",,,,
    Estimate,"108,824","16,063","7,445",
"Edwards County, Kansas",,,,
    Estimate,"2,629",454,0,
"Elk County, Kansas",,,,
    Estimate,"2,381",240,18,
"Ellis County, Kansas",,,,
    Estimate,"26,796","4,852","1,759",
"Ellsworth County, Kansas",,,,
    Estimate,"5,156",534,9,
"Finney County, Kansas",,,,
    Estimate,"35,655","3,914",58,
"Ford County, Kansas",,,,
    Estimate,"31,816","4,317",94,
"Franklin County, Kansas",,,,
    Estimate,"24,572","2,150",128,
"Geary County, Kansas",,,,
    Estimate,"32,296","5,682",495,
"Gove County, Kansas",,,,
    Estimate,"2,649",138,2,
"Graham County, Kansas",,,,
    Estimate,"2,272",329,56,
"Grant County, Kansas",,,,
    Estimate,"6,829",560,81,
"Gray County, Kansas",,,,
    Estimate,"5,350",448,5,
"Greeley County, Kansas",,,,
    Estimate,"1,225",89,0,
"Greenwood County, Kansas",,,,
    Estimate,"5,644",701,30,
"Hamilton County, Kansas",,,,
    Estimate,"2,338",173,0,
"Harper County, Kansas",,,,
    Estimate,"5,065",842,23,
"Harvey County, Kansas",,,,
    Estimate,"31,383","2,502",188,
"Haskell County, Kansas",,,,
    Estimate,"3,387",378,0,
"Hodgeman County, Kansas",,,,
    Estimate,"1,591",93,6,
"Jackson County, Kansas",,,,
    Estimate,"12,594",766,34,
"Jefferson County, Kansas",,,,
    Estimate,"17,587",999,9,
"Jewell County, Kansas",,,,
    Estimate,"2,784",288,0,
"Johnson County, Kansas",,,,
    Estimate,"593,589","31,976","2,459",
"Kearny County, Kansas",,,,
    Estimate,"3,672",158,11,
"Kingman County, Kansas",,,,
    Estimate,"6,836",682,11,
"Kiowa County, Kansas",,,,
    Estimate,"2,114",118,20,
"Labette County, Kansas",,,,
    Estimate,"18,532","2,966",176,
"Lane County, Kansas",,,,
    Estimate,"1,414",94,0,
"Leavenworth County, Kansas",,,,
    Estimate,"75,539","6,534",356,
"Lincoln County, Kansas",,,,
    Estimate,"2,785",313,6,
"Linn County, Kansas",,,,
    Estimate,"9,374",785,13,
"Logan County, Kansas",,,,
    Estimate,"2,591",396,4,
"Lyon County, Kansas",,,,
    Estimate,"30,054","4,385","1,176",
"McPherson County, Kansas",,,,
    Estimate,"27,354","2,642",341,
"Marion County, Kansas",,,,
    Estimate,"10,709",984,49,
"Marshall County, Kansas",,,,
    Estimate,"9,331","1,090",15,
"Meade County, Kansas",,,,
    Estimate,"3,628",381,0,
"Miami County, Kansas",,,,
    Estimate,"33,320","2,631",29,
"Mitchell County, Kansas",,,,
    Estimate,"5,483",672,108,
"Montgomery County, Kansas",,,,
    Estimate,"29,043","4,425",360,
"Morris County, Kansas",,,,
    Estimate,"5,072",630,0,
"Morton County, Kansas",,,,
    Estimate,"2,456",367,4,
"Nemaha County, Kansas",,,,
    Estimate,"9,392",875,46,
"Neosho County, Kansas",,,,
    Estimate,"14,656","1,836",34,
"Ness County, Kansas",,,,
    Estimate,"2,534",277,11,
"Norton County, Kansas",,,,
    Estimate,"4,187",297,0,
"Osage County, Kansas",,,,
    Estimate,"15,000","1,479",20,
"Osborne County, Kansas",,,,
    Estimate,"3,214",258,3,
"Ottawa County, Kansas",,,,
    Estimate,"5,507",557,58,
"Pawnee County, Kansas",,,,
    Estimate,"5,261",608,0,
"Phillips County, Kansas",,,,
    Estimate,"4,552",704,2,
"Pottawatomie County, Kansas",,,,
    Estimate,"24,771","1,645",14,
"Pratt County, Kansas",,,,
    Estimate,"8,325","1,026",90,
"Rawlins County, Kansas",,,,
    Estimate,"2,373",157,3,
"Reno County, Kansas",,,,
    Estimate,"56,236","6,744",412,
"Republic County, Kansas",,,,
    Estimate,"4,365",440,0,
"Rice County, Kansas",,,,
    Estimate,"8,449",611,28,
"Riley County, Kansas",,,,
    Estimate,"59,709","11,913","5,841",
"Rooks County, Kansas",,,,
    Estimate,"4,438",253,0,
"Rush County, Kansas",,,,
    Estimate,"2,775",313,17,
"Russell County, Kansas",,,,
    Estimate,"6,302",898,4,
"Saline County, Kansas",,,,
    Estimate,"50,280","6,039",815,
"Scott County, Kansas",,,,
    Estimate,"4,738",292,55,
"Sedgwick County, Kansas",,,,
    Estimate,"500,246","68,023","5,136",
"Seward County, Kansas",,,,
    Estimate,"20,072","2,319",75,
"Shawnee County, Kansas",,,,
    Estimate,"167,498","20,688","1,404",
"Sheridan County, Kansas",,,,
    Estimate,"2,307",196,0,
"Sherman County, Kansas",,,,
    Estimate,"5,378",555,31,
"Smith County, Kansas",,,,
    Estimate,"3,379",249,10,
"Stafford County, Kansas",,,,
    Estimate,"3,770",395,5,
"Stanton County, Kansas",,,,
    Estimate,"1,956",30,0,
"Stevens County, Kansas",,,,
    Estimate,"4,864",721,20,
"Sumner County, Kansas",,,,
    Estimate,"21,110","2,234",67,
"Thomas County, Kansas",,,,
    Estimate,"7,100",459,53,
"Trego County, Kansas",,,,
    Estimate,"2,655",142,1,
"Wabaunsee County, Kansas",,,,
    Estimate,"6,600",568,2,
"Wallace County, Kansas",,,,
    Estimate,"1,328",151,6,
"Washington County, Kansas",,,,
    Estimate,"5,235",460,5,
"Wichita County, Kansas",,,,
    Estimate,"1,936",274,4,
"Wilson County, Kansas",,,,
    Estimate,"8,011","1,237",52,
"Woodson County, Kansas",,,,
    Estimate,"2,969",354,6,
"Wyandotte County, Kansas",,,,
    Estimate,"158,564","24,557",686,
"Adair County, Kentucky",,,,
    Estimate,"17,313","3,172",73,
"Allen County, Kentucky",,,,
    Estimate,"20,359","2,772",66,
"Anderson County, Kentucky",,,,
    Estimate,"23,250","2,655",127,
"Ballard County, Kentucky",,,,
    Estimate,"7,334","1,092",3,
"Barren County, Kentucky",,,,
    Estimate,"42,477","8,202",242,
"Bath County, Kentucky",,,,
    Estimate,"12,121","2,818",96,
"Bell County, Kentucky",,,,
    Estimate,"22,104","6,335",264,
"Boone County, Kentucky",,,,
    Estimate,"133,329","8,281",354,
"Bourbon County, Kentucky",,,,
    Estimate,"19,508","2,720",109,
"Boyd County, Kentucky",,,,
    Estimate,"44,501","7,483",394,
"Boyle County, Kentucky",,,,
    Estimate,"27,139","4,169",184,
"Bracken County, Kentucky",,,,
    Estimate,"8,037","1,549",15,
"Breathitt County, Kentucky",,,,
    Estimate,"12,686","4,143",125,
"Breckinridge County, Kentucky",,,,
    Estimate,"19,653","4,063",95,
"Bullitt County, Kentucky",,,,
    Estimate,"81,315","7,691",212,
"Butler County, Kentucky",,,,
    Estimate,"11,656","2,372",50,
"Caldwell County, Kentucky",,,,
    Estimate,"11,917","1,773",22,
"Calloway County, Kentucky",,,,
    Estimate,"34,384","6,010","1,462",
"Campbell County, Kentucky",,,,
    Estimate,"87,972","9,850",892,
"Carlisle County, Kentucky",,,,
    Estimate,"4,503",613,24,
"Carroll County, Kentucky",,,,
    Estimate,"10,292","2,286",14,
"Carter County, Kentucky",,,,
    Estimate,"24,902","4,855",73,
"Casey County, Kentucky",,,,
    Estimate,"15,110","3,271",42,
"Christian County, Kentucky",,,,
    Estimate,"63,369","10,617",484,
"Clark County, Kentucky",,,,
    Estimate,"35,289","5,251",236,
"Clay County, Kentucky",,,,
    Estimate,"17,779","5,755",71,
"Clinton County, Kentucky",,,,
    Estimate,"8,674","1,511",58,
"Crittenden County, Kentucky",,,,
    Estimate,"8,410","1,359",15,
"Cumberland County, Kentucky",,,,
    Estimate,"5,658","1,442",55,
"Daviess County, Kentucky",,,,
    Estimate,"97,103","14,033",354,
"Edmonson County, Kentucky",,,,
    Estimate,"11,937","1,834",33,
"Elliott County, Kentucky",,,,
    Estimate,"6,123","1,520",0,
"Estill County, Kentucky",,,,
    Estimate,"13,344","2,788",67,
"Fayette County, Kentucky",,,,
    Estimate,"299,619","43,606","8,409",
"Fleming County, Kentucky",,,,
    Estimate,"14,667","3,043",64,
"Floyd County, Kentucky",,,,
    Estimate,"33,351","9,257",289,
"Franklin County, Kentucky",,,,
    Estimate,"48,485","6,580",273,
"Fulton County, Kentucky",,,,
    Estimate,"5,751","1,260",24,
"Gallatin County, Kentucky",,,,
    Estimate,"8,359","1,124",38,
"Garrard County, Kentucky",,,,
    Estimate,"16,945","2,724",30,
"Grant County, Kentucky",,,,
    Estimate,"24,101","2,880",98,
"Graves County, Kentucky",,,,
    Estimate,"34,834","6,765",138,
"Grayson County, Kentucky",,,,
    Estimate,"24,856","4,943",236,
"Green County, Kentucky",,,,
    Estimate,"10,818","2,177",9,
"Greenup County, Kentucky",,,,
    Estimate,"33,903","5,232",159,
"Hancock County, Kentucky",,,,
    Estimate,"8,576","1,242",20,
"Hardin County, Kentucky",,,,
    Estimate,"105,664","13,707",568,
"Harlan County, Kentucky",,,,
    Estimate,"24,385","6,624",250,
"Harrison County, Kentucky",,,,
    Estimate,"18,305","3,158",114,
"Hart County, Kentucky",,,,
    Estimate,"18,484","3,548",54,
"Henderson County, Kentucky",,,,
    Estimate,"42,052","6,046",63,
"Henry County, Kentucky",,,,
    Estimate,"15,230","2,471",35,
"Hickman County, Kentucky",,,,
    Estimate,"4,170",850,0,
"Hopkins County, Kentucky",,,,
    Estimate,"42,543","8,312",224,
"Jackson County, Kentucky",,,,
    Estimate,"12,441","2,492",35,
"Jefferson County, Kentucky",,,,
    Estimate,"739,709","102,594","5,788",
"Jessamine County, Kentucky",,,,
    Estimate,"51,335","5,863",252,
"Johnson County, Kentucky",,,,
    Estimate,"21,063","4,768",116,
"Kenton County, Kentucky",,,,
    Estimate,"163,127","18,989",662,
"Knott County, Kentucky",,,,
    Estimate,"13,076","2,945",87,
"Knox County, Kentucky",,,,
    Estimate,"27,940","10,063",115,
"Larue County, Kentucky",,,,
    Estimate,"14,441","2,613",57,
"Laurel County, Kentucky",,,,
    Estimate,"59,327","12,108",498,
"Lawrence County, Kentucky",,,,
    Estimate,"15,451","3,291",81,
"Lee County, Kentucky",,,,
    Estimate,"6,030","1,657",18,
"Leslie County, Kentucky",,,,
    Estimate,"9,568","2,843",63,
"Letcher County, Kentucky",,,,
    Estimate,"19,754","4,673",210,
"Lewis County, Kentucky",,,,
    Estimate,"12,470","2,672",56,
"Lincoln County, Kentucky",,,,
    Estimate,"23,258","3,843",174,
"Livingston County, Kentucky",,,,
    Estimate,"8,481","1,520",21,
"Logan County, Kentucky",,,,
    Estimate,"26,546","4,371",71,
"Lyon County, Kentucky",,,,
    Estimate,"7,226",679,34,
"McCracken County, Kentucky",,,,
    Estimate,"64,667","9,596",614,
"McCreary County, Kentucky",,,,
    Estimate,"14,696","5,592",144,
"McLean County, Kentucky",,,,
    Estimate,"8,787",826,4,
"Madison County, Kentucky",,,,
    Estimate,"87,073","12,832","2,008",
"Magoffin County, Kentucky",,,,
    Estimate,"10,738","4,050",173,
"Marion County, Kentucky",,,,
    Estimate,"18,348","3,109",82,
"Marshall County, Kentucky",,,,
    Estimate,"30,221","3,678",70,
"Martin County, Kentucky",,,,
    Estimate,"9,203","3,013",126,
"Mason County, Kentucky",,,,
    Estimate,"16,014","3,010",149,
"Meade County, Kentucky",,,,
    Estimate,"29,036","3,442",155,
"Menifee County, Kentucky",,,,
    Estimate,"5,978","1,570",36,
"Mercer County, Kentucky",,,,
    Estimate,"21,775","2,259",59,
"Metcalfe County, Kentucky",,,,
    Estimate,"10,162","2,721",44,
"Monroe County, Kentucky",,,,
    Estimate,"10,691","2,388",122,
"Montgomery County, Kentucky",,,,
    Estimate,"26,915","3,989",98,
"Morgan County, Kentucky",,,,
    Estimate,"11,894","2,047",5,
"Muhlenberg County, Kentucky",,,,
    Estimate,"28,458","5,105",51,
"Nelson County, Kentucky",,,,
    Estimate,"45,557","4,989",74,
"Nicholas County, Kentucky",,,,
    Estimate,"7,357","1,294",15,
"Ohio County, Kentucky",,,,
    Estimate,"22,676","2,806",61,
"Oldham County, Kentucky",,,,
    Estimate,"63,288","2,759",130,
"Owen County, Kentucky",,,,
    Estimate,"10,840","2,002",36,
"Owsley County, Kentucky",,,,
    Estimate,"3,755","1,385",19,
"Pendleton County, Kentucky",,,,
    Estimate,"13,997","2,214",37,
"Perry County, Kentucky",,,,
    Estimate,"25,681","6,709",154,
"Pike County, Kentucky",,,,
    Estimate,"54,155","13,224",402,
"Powell County, Kentucky",,,,
    Estimate,"12,127","2,716",125,
"Pulaski County, Kentucky",,,,
    Estimate,"62,637","12,460",248,
"Robertson County, Kentucky",,,,
    Estimate,"2,188",461,2,
"Rockcastle County, Kentucky",,,,
    Estimate,"15,192","3,819",65,
"Rowan County, Kentucky",,,,
    Estimate,"20,850","5,106",870,
"Russell County, Kentucky",,,,
    Estimate,"17,286","4,064",63,
"Scott County, Kentucky",,,,
    Estimate,"55,971","5,710",176,
"Shelby County, Kentucky",,,,
    Estimate,"45,990","4,324",121,
"Simpson County, Kentucky",,,,
    Estimate,"18,892","2,968",50,
"Spencer County, Kentucky",,,,
    Estimate,"19,454","1,778",30,
"Taylor County, Kentucky",,,,
    Estimate,"24,288","4,331",87,
"Todd County, Kentucky",,,,
    Estimate,"11,715","2,460",39,
"Trigg County, Kentucky",,,,
    Estimate,"13,739","2,732",124,
"Trimble County, Kentucky",,,,
    Estimate,"8,218","1,101",0,
"Union County, Kentucky",,,,
    Estimate,"12,577","2,221",119,
"Warren County, Kentucky",,,,
    Estimate,"129,361","21,664","3,634",
"Washington County, Kentucky",,,,
    Estimate,"11,520","1,504",0,
"Wayne County, Kentucky",,,,
    Estimate,"18,641","4,509",151,
"Webster County, Kentucky",,,,
    Estimate,"12,089","1,663",20,
"Whitley County, Kentucky",,,,
    Estimate,"33,644","8,742",311,
"Wolfe County, Kentucky",,,,
    Estimate,"6,184","2,302",99,
"Woodford County, Kentucky",,,,
    Estimate,"26,044","2,731",32,
"Acadia Parish, Louisiana",,,,
    Estimate,"53,836","13,022",468,
"Allen Parish, Louisiana",,,,
    Estimate,"18,267","4,097",33,
"Ascension Parish, Louisiana",,,,
    Estimate,"123,742","12,488",367,
"Assumption Parish, Louisiana",,,,
    Estimate,"19,803","2,943",17,
"Avoyelles Parish, Louisiana",,,,
    Estimate,"34,531","9,439",348,
"Beauregard Parish, Louisiana",,,,
    Estimate,"34,156","4,825",84,
"Bienville Parish, Louisiana",,,,
    Estimate,"11,995","3,382",72,
"Bossier Parish, Louisiana",,,,
    Estimate,"121,954","18,736",618,
"Caddo Parish, Louisiana",,,,
    Estimate,"216,563","47,121","2,476",
"Calcasieu Parish, Louisiana",,,,
    Estimate,"196,632","33,446","2,390",
"Caldwell Parish, Louisiana",,,,
    Estimate,"8,959","2,630",46,
"Cameron Parish, Louisiana",,,,
    Estimate,"4,788",370,0,
"Catahoula Parish, Louisiana",,,,
    Estimate,"7,313","1,762",11,
"Claiborne Parish, Louisiana",,,,
    Estimate,"11,652","3,617",27,
"Concordia Parish, Louisiana",,,,
    Estimate,"16,432","5,116",148,
"De Soto Parish, Louisiana",,,,
    Estimate,"25,965","5,574",293,
"East Baton Rouge Parish, Louisiana",,,,
    Estimate,"421,640","81,248","12,707",
"East Carroll Parish, Louisiana",,,,
    Estimate,"5,217","1,815",106,
"East Feliciana Parish, Louisiana",,,,
    Estimate,"16,434","2,697",133,
"Evangeline Parish, Louisiana",,,,
    Estimate,"29,584","7,322",203,
"Franklin Parish, Louisiana",,,,
    Estimate,"17,488","4,192",59,
"Grant Parish, Louisiana",,,,
    Estimate,"18,095","3,004",103,
"Iberia Parish, Louisiana",,,,
    Estimate,"65,033","14,319",529,
"Iberville Parish, Louisiana",,,,
    Estimate,"26,217","5,069",103,
"Jackson Parish, Louisiana",,,,
    Estimate,"13,570","2,947",22,
"Jefferson Parish, Louisiana",,,,
    Estimate,"412,030","67,574","2,808",
"Jefferson Davis Parish, Louisiana",,,,
    Estimate,"30,142","4,409",177,
"Lafayette Parish, Louisiana",,,,
    Estimate,"235,415","39,470","2,917",
"Lafourche Parish, Louisiana",,,,
    Estimate,"90,322","14,989",724,
"LaSalle Parish, Louisiana",,,,
    Estimate,"13,144","2,112",124,
"Lincoln Parish, Louisiana",,,,
    Estimate,"42,360","12,987","3,040",
"Livingston Parish, Louisiana",,,,
    Estimate,"141,191","17,762",630,
"Madison Parish, Louisiana",,,,
    Estimate,"7,890","2,604",47,
"Morehouse Parish, Louisiana",,,,
    Estimate,"22,862","6,487",139,
"Natchitoches Parish, Louisiana",,,,
    Estimate,"32,965","8,068","1,775",
"Orleans Parish, Louisiana",,,,
    Estimate,"346,797","77,221","5,893",
"Ouachita Parish, Louisiana",,,,
    Estimate,"146,713","33,296","2,367",
