"Label (Grouping)","Total"
"    Estimate","849"
"    Margin of Error","±148"
"Clearwater County, Idaho",""
"    Estimate","9,012"
"    Margin of Error","*****"
"Custer County, Idaho",""
"    Estimate","4,470"
"    Margin of Error","*****"
"Elmore County, Idaho",""
"    Estimate","29,321"
"    Margin of Error","*****"
"Franklin County, Idaho",""
"    Estimate","15,056"
"    Margin of Error","*****"
"Fremont County, Idaho",""
"    Estimate","13,943"
"    Margin of Error","*****"
"Gem County, Idaho",""
"    Estimate","20,614"
"    Margin of Error","*****"
"Gooding County, Idaho",""
"    Estimate","15,931"
"    Margin of Error","*****"
"Idaho County, Idaho",""
"    Estimate","17,432"
"    Margin of Error","*****"
"Jefferson County, Idaho",""
"    Estimate","33,154"
"    Margin of Error","*****"
"Jerome County, Idaho",""
"    Estimate","25,173"
"    Margin of Error","*****"
"Kootenai County, Idaho",""
"    Estimate","181,996"
"    Margin of Error","*****"
"Latah County, Idaho",""
"    Estimate","41,049"
"    Margin of Error","*****"
"Lemhi County, Idaho",""
"    Estimate","8,249"
"    Margin of Error","*****"
"Lewis County, Idaho",""
"    Estimate","3,682"
"    Margin of Error","*****"
"Lincoln County, Idaho",""
"    Estimate","5,358"
"    Margin of Error","*****"
"Madison County, Idaho",""
"    Estimate","54,618"
"    Margin of Error","*****"
"Minidoka County, Idaho",""
"    Estimate","22,208"
"    Margin of Error","*****"
"Nez Perce County, Idaho",""
"    Estimate","42,697"
"    Margin of Error","*****"
"Oneida County, Idaho",""
"    Estimate","4,768"
"    Margin of Error","*****"
"Owyhee County, Idaho",""
"    Estimate","12,503"
"    Margin of Error","*****"
"Payette County, Idaho",""
"    Estimate","26,771"
"    Margin of Error","*****"
"Power County, Idaho",""
"    Estimate","8,133"
"    Margin of Error","*****"
"Shoshone County, Idaho",""
"    Estimate","13,785"
"    Margin of Error","*****"
"Teton County, Idaho",""
"    Estimate","12,425"
"    Margin of Error","*****"
"Twin Falls County, Idaho",""
"    Estimate","93,734"
"    Margin of Error","*****"
"Valley County, Idaho",""
"    Estimate","12,389"
"    Margin of Error","*****"
"Washington County, Idaho",""
"    Estimate","11,142"
"    Margin of Error","*****"
"Adams County, Illinois",""
"    Estimate","64,754"
"    Margin of Error","*****"
"Alexander County, Illinois",""
"    Estimate","4,875"
"    Margin of Error","*****"
"Bond County, Illinois",""
"    Estimate","16,716"
"    Margin of Error","*****"
"Boone County, Illinois",""
"    Estimate","53,230"
"    Margin of Error","*****"
"Brown County, Illinois",""
"    Estimate","6,322"
"    Margin of Error","*****"
"Bureau County, Illinois",""
"    Estimate","32,866"
"    Margin of Error","*****"
"Calhoun County, Illinois",""
"    Estimate","4,330"
"    Margin of Error","*****"
"Carroll County, Illinois",""
"    Estimate","15,576"
"    Margin of Error","*****"
"Cass County, Illinois",""
"    Estimate","12,784"
"    Margin of Error","*****"
"Champaign County, Illinois",""
"    Estimate","208,741"
"    Margin of Error","*****"
"Christian County, Illinois",""
"    Estimate","33,538"
"    Margin of Error","*****"
"Clark County, Illinois",""
"    Estimate","15,266"
"    Margin of Error","*****"
"Clay County, Illinois",""
"    Estimate","13,052"
"    Margin of Error","*****"
"Clinton County, Illinois",""
"    Estimate","36,954"
"    Margin of Error","*****"
"Coles County, Illinois",""
"    Estimate","46,777"
"    Margin of Error","*****"
"Cook County, Illinois",""
"    Estimate","5,182,090"
"    Margin of Error","*****"
"Crawford County, Illinois",""
"    Estimate","18,511"
"    Margin of Error","*****"
"Cumberland County, Illinois",""
"    Estimate","10,334"
"    Margin of Error","*****"
"DeKalb County, Illinois",""
"    Estimate","100,703"
"    Margin of Error","*****"
"De Witt County, Illinois",""
"    Estimate","15,373"
"    Margin of Error","*****"
"Douglas County, Illinois",""
"    Estimate","19,751"
"    Margin of Error","*****"
"DuPage County, Illinois",""
"    Estimate","930,024"
"    Margin of Error","*****"
"Edgar County, Illinois",""
"    Estimate","16,535"
"    Margin of Error","*****"
"Edwards County, Illinois",""
"    Estimate","6,075"
"    Margin of Error","*****"
"Effingham County, Illinois",""
"    Estimate","34,522"
"    Margin of Error","*****"
"Fayette County, Illinois",""
"    Estimate","21,315"
"    Margin of Error","*****"
"Ford County, Illinois",""
"    Estimate","13,406"
"    Margin of Error","*****"
"Franklin County, Illinois",""
"    Estimate","37,323"
"    Margin of Error","*****"
"Fulton County, Illinois",""
"    Estimate","33,020"
"    Margin of Error","*****"
"Gallatin County, Illinois",""
"    Estimate","4,819"
"    Margin of Error","*****"
"Greene County, Illinois",""
"    Estimate","11,683"
"    Margin of Error","*****"
"Grundy County, Illinois",""
"    Estimate","53,219"
"    Margin of Error","*****"
"Hamilton County, Illinois",""
"    Estimate","7,916"
"    Margin of Error","*****"
"Hancock County, Illinois",""
"    Estimate","17,281"
"    Margin of Error","*****"
"Hardin County, Illinois",""
"    Estimate","3,605"
"    Margin of Error","*****"
"Henderson County, Illinois",""
"    Estimate","6,193"
"    Margin of Error","*****"
"Henry County, Illinois",""
"    Estimate","48,643"
"    Margin of Error","*****"
"Iroquois County, Illinois",""
"    Estimate","26,449"
"    Margin of Error","*****"
"Jackson County, Illinois",""
"    Estimate","53,064"
"    Margin of Error","*****"
"Jasper County, Illinois",""
"    Estimate","9,180"
"    Margin of Error","*****"
"Jefferson County, Illinois",""
"    Estimate","36,550"
"    Margin of Error","*****"
"Jersey County, Illinois",""
"    Estimate","21,274"
"    Margin of Error","*****"
"Jo Daviess County, Illinois",""
"    Estimate","21,851"
"    Margin of Error","*****"
"Johnson County, Illinois",""
"    Estimate","13,376"
"    Margin of Error","*****"
"Kane County, Illinois",""
"    Estimate","517,255"
"    Margin of Error","*****"
"Kankakee County, Illinois",""
"    Estimate","106,635"
"    Margin of Error","*****"
"Kendall County, Illinois",""
"    Estimate","137,675"
"    Margin of Error","*****"
"Knox County, Illinois",""
"    Estimate","49,046"
"    Margin of Error","*****"
"Lake County, Illinois",""
"    Estimate","714,223"
"    Margin of Error","*****"
"LaSalle County, Illinois",""
"    Estimate","108,714"
"    Margin of Error","*****"
"Lawrence County, Illinois",""
"    Estimate","15,031"
"    Margin of Error","*****"
"Lee County, Illinois",""
"    Estimate","33,869"
"    Margin of Error","*****"
"Livingston County, Illinois",""
"    Estimate","35,565"
"    Margin of Error","*****"
"Logan County, Illinois",""
"    Estimate","27,713"
"    Margin of Error","*****"
"McDonough County, Illinois",""
"    Estimate","26,920"
"    Margin of Error","*****"
"McHenry County, Illinois",""
"    Estimate","312,591"
"    Margin of Error","*****"
"McLean County, Illinois",""
"    Estimate","171,556"
"    Margin of Error","*****"
"Macon County, Illinois",""
"    Estimate","101,849"
"    Margin of Error","*****"
"Macoupin County, Illinois",""
"    Estimate","44,350"
"    Margin of Error","*****"
"Madison County, Illinois",""
"    Estimate","264,238"
"    Margin of Error","*****"
"Marion County, Illinois",""
"    Estimate","37,000"
"    Margin of Error","*****"
"Marshall County, Illinois",""
"    Estimate","11,647"
"    Margin of Error","*****"
"Mason County, Illinois",""
"    Estimate","12,745"
"    Margin of Error","*****"
"Massac County, Illinois",""
"    Estimate","13,865"
"    Margin of Error","*****"
"Menard County, Illinois",""
"    Estimate","12,095"
"    Margin of Error","*****"
"Mercer County, Illinois",""
"    Estimate","15,495"
"    Margin of Error","*****"
"Monroe County, Illinois",""
"    Estimate","35,036"
"    Margin of Error","*****"
"Montgomery County, Illinois",""
"    Estimate","27,942"
"    Margin of Error","*****"
"Morgan County, Illinois",""
"    Estimate","33,021"
"    Margin of Error","*****"
"Moultrie County, Illinois",""
"    Estimate","14,424"
"    Margin of Error","*****"
"Ogle County, Illinois",""
"    Estimate","51,495"
"    Margin of Error","*****"
"Peoria County, Illinois",""
"    Estimate","179,645"
"    Margin of Error","*****"
"Perry County, Illinois",""
"    Estimate","20,639"
"    Margin of Error","*****"
"Piatt County, Illinois",""
"    Estimate","16,695"
"    Margin of Error","*****"
"Pike County, Illinois",""
"    Estimate","14,469"
"    Margin of Error","*****"
"Pope County, Illinois",""
"    Estimate","3,739"
"    Margin of Error","*****"
"Pulaski County, Illinois",""
"    Estimate","5,015"
"    Margin of Error","*****"
"Putnam County, Illinois",""
"    Estimate","5,601"
"    Margin of Error","*****"
"Randolph County, Illinois",""
"    Estimate","30,058"
"    Margin of Error","*****"
"Richland County, Illinois",""
"    Estimate","15,598"
"    Margin of Error","*****"
"Rock Island County, Illinois",""
"    Estimate","142,757"
"    Margin of Error","*****"
"St. Clair County, Illinois",""
"    Estimate","253,694"
"    Margin of Error","*****"
"Saline County, Illinois",""
"    Estimate","23,213"
"    Margin of Error","*****"
"Sangamon County, Illinois",""
"    Estimate","194,947"
"    Margin of Error","*****"
"Schuyler County, Illinois",""
"    Estimate","6,787"
"    Margin of Error","*****"
"Scott County, Illinois",""
"    Estimate","4,937"
"    Margin of Error","*****"
"Shelby County, Illinois",""
"    Estimate","20,720"
"    Margin of Error","*****"
"Stark County, Illinois",""
"    Estimate","5,308"
"    Margin of Error","*****"
"Stephenson County, Illinois",""
"    Estimate","43,768"
"    Margin of Error","*****"
"Tazewell County, Illinois",""
"    Estimate","130,290"
"    Margin of Error","*****"
"Union County, Illinois",""
"    Estimate","16,997"
"    Margin of Error","*****"
"Vermilion County, Illinois",""
"    Estimate","72,386"
"    Margin of Error","*****"
"Wabash County, Illinois",""
"    Estimate","11,119"
"    Margin of Error","*****"
"Warren County, Illinois",""
"    Estimate","16,447"
"    Margin of Error","*****"
"Washington County, Illinois",""
"    Estimate","13,627"
"    Margin of Error","*****"
"Wayne County, Illinois",""
"    Estimate","15,973"
"    Margin of Error","*****"
"White County, Illinois",""
"    Estimate","13,619"
"    Margin of Error","*****"
"Whiteside County, Illinois",""
"    Estimate","54,947"
"    Margin of Error","*****"
"Will County, Illinois",""
"    Estimate","701,462"
"    Margin of Error","*****"
"Williamson County, Illinois",""
"    Estimate","66,876"
"    Margin of Error","*****"
"Winnebago County, Illinois",""
"    Estimate","283,292"
"    Margin of Error","*****"
"Woodford County, Illinois",""
"    Estimate","38,312"
"    Margin of Error","*****"
"Adams County, Indiana",""
"    Estimate","36,227"
"    Margin of Error","*****"
"Allen County, Indiana",""
"    Estimate","392,378"
"    Margin of Error","*****"
"Bartholomew County, Indiana",""
"    Estimate","83,536"
"    Margin of Error","*****"
"Benton County, Indiana",""
"    Estimate","8,735"
"    Margin of Error","*****"
"Blackford County, Indiana",""
"    Estimate","11,950"
"    Margin of Error","*****"
"Boone County, Indiana",""
"    Estimate","74,718"
"    Margin of Error","*****"
"Brown County, Indiana",""
"    Estimate","15,606"
"    Margin of Error","*****"
"Carroll County, Indiana",""
"    Estimate","20,535"
"    Margin of Error","*****"
"Cass County, Indiana",""
"    Estimate","37,680"
"    Margin of Error","*****"
"Clark County, Indiana",""
"    Estimate","124,354"
"    Margin of Error","*****"
"Clay County, Indiana",""
"    Estimate","26,409"
"    Margin of Error","*****"
"Clinton County, Indiana",""
"    Estimate","32,944"
"    Margin of Error","*****"
"Crawford County, Indiana",""
"    Estimate","10,499"
"    Margin of Error","*****"
"Daviess County, Indiana",""
"    Estimate","33,658"
"    Margin of Error","*****"
"Dearborn County, Indiana",""
"    Estimate","51,094"
"    Margin of Error","*****"
"Decatur County, Indiana",""
"    Estimate","26,422"
"    Margin of Error","*****"
"DeKalb County, Indiana",""
"    Estimate","43,807"
"    Margin of Error","*****"
"Delaware County, Indiana",""
"    Estimate","112,280"
"    Margin of Error","*****"
"Dubois County, Indiana",""
"    Estimate","43,614"
"    Margin of Error","*****"
"Elkhart County, Indiana",""
"    Estimate","207,132"
"    Margin of Error","*****"
"Fayette County, Indiana",""
"    Estimate","23,334"
"    Margin of Error","*****"
"Floyd County, Indiana",""
"    Estimate","80,918"
"    Margin of Error","*****"
"Fountain County, Indiana",""
"    Estimate","16,617"
"    Margin of Error","*****"
"Franklin County, Indiana",""
"    Estimate","23,020"
"    Margin of Error","*****"
"Fulton County, Indiana",""
"    Estimate","20,312"
"    Margin of Error","*****"
"Gibson County, Indiana",""
"    Estimate","33,000"
"    Margin of Error","*****"
"Grant County, Indiana",""
"    Estimate","66,295"
"    Margin of Error","*****"
"Greene County, Indiana",""
"    Estimate","31,021"
"    Margin of Error","*****"
"Hamilton County, Indiana",""
"    Estimate","365,056"
"    Margin of Error","*****"
"Hancock County, Indiana",""
"    Estimate","84,037"
"    Margin of Error","*****"
"Harrison County, Indiana",""
"    Estimate","39,859"
"    Margin of Error","*****"
"Hendricks County, Indiana",""
"    Estimate","183,344"
"    Margin of Error","*****"
"Henry County, Indiana",""
"    Estimate","48,970"
"    Margin of Error","*****"
"Howard County, Indiana",""
"    Estimate","83,752"
"    Margin of Error","*****"
"Huntington County, Indiana",""
"    Estimate","36,798"
"    Margin of Error","*****"
"Jackson County, Indiana",""
"    Estimate","46,660"
"    Margin of Error","*****"
"Jasper County, Indiana",""
"    Estimate","33,234"
"    Margin of Error","*****"
"Jay County, Indiana",""
"    Estimate","20,229"
"    Margin of Error","*****"
"Jefferson County, Indiana",""
"    Estimate","32,998"
"    Margin of Error","*****"
"Jennings County, Indiana",""
"    Estimate","27,562"
"    Margin of Error","*****"
"Johnson County, Indiana",""
"    Estimate","166,315"
"    Margin of Error","*****"
"Knox County, Indiana",""
"    Estimate","36,007"
"    Margin of Error","*****"
"Kosciusko County, Indiana",""
"    Estimate","80,442"
"    Margin of Error","*****"
"LaGrange County, Indiana",""
"    Estimate","40,805"
"    Margin of Error","*****"
"Lake County, Indiana",""
"    Estimate","500,379"
"    Margin of Error","*****"
"LaPorte County, Indiana",""
"    Estimate","111,917"
"    Margin of Error","*****"
"Lawrence County, Indiana",""
"    Estimate","45,102"
"    Margin of Error","*****"
"Madison County, Indiana",""
"    Estimate","131,900"
"    Margin of Error","*****"
"Marion County, Indiana",""
"    Estimate","975,809"
"    Margin of Error","*****"
"Marshall County, Indiana",""
"    Estimate","46,284"
"    Margin of Error","*****"
"Martin County, Indiana",""
"    Estimate","9,830"
"    Margin of Error","*****"
"Miami County, Indiana",""
"    Estimate","35,712"
"    Margin of Error","*****"
"Monroe County, Indiana",""
"    Estimate","140,965"
"    Margin of Error","*****"
"Montgomery County, Indiana",""
"    Estimate","38,312"
"    Margin of Error","*****"
"Morgan County, Indiana",""
"    Estimate","72,659"
"    Margin of Error","*****"
"Newton County, Indiana",""
"    Estimate","13,922"
"    Margin of Error","*****"
"Noble County, Indiana",""
"    Estimate","47,495"
"    Margin of Error","*****"
"Ohio County, Indiana",""
"    Estimate","5,999"
"    Margin of Error","*****"
"Orange County, Indiana",""
"    Estimate","19,767"
"    Margin of Error","*****"
"Owen County, Indiana",""
"    Estimate","21,604"
"    Margin of Error","*****"
"Parke County, Indiana",""
"    Estimate","16,406"
"    Margin of Error","*****"
"Perry County, Indiana",""
"    Estimate","19,270"
"    Margin of Error","*****"
"Pike County, Indiana",""
"    Estimate","12,154"
"    Margin of Error","*****"
"Porter County, Indiana",""
"    Estimate","174,818"
"    Margin of Error","*****"
"Posey County, Indiana",""
"    Estimate","25,116"
"    Margin of Error","*****"
"Pulaski County, Indiana",""
"    Estimate","12,441"
"    Margin of Error","*****"
"Putnam County, Indiana",""
"    Estimate","37,280"
"    Margin of Error","*****"
"Randolph County, Indiana",""
"    Estimate","24,387"
"    Margin of Error","*****"
"Ripley County, Indiana",""
"    Estimate","29,095"
"    Margin of Error","*****"
"Rush County, Indiana",""
"    Estimate","16,739"
"    Margin of Error","*****"
"St. Joseph County, Indiana",""
"    Estimate","273,040"
"    Margin of Error","*****"
"Scott County, Indiana",""
"    Estimate","24,526"
"    Margin of Error","*****"
"Shelby County, Indiana",""
"    Estimate","45,265"
"    Margin of Error","*****"
"Spencer County, Indiana",""
"    Estimate","19,955"
"    Margin of Error","*****"
"Starke County, Indiana",""
"    Estimate","23,365"
"    Margin of Error","*****"
"Steuben County, Indiana",""
"    Estimate","34,726"
"    Margin of Error","*****"
"Sullivan County, Indiana",""
"    Estimate","20,780"
"    Margin of Error","*****"
"Switzerland County, Indiana",""
"    Estimate","9,909"
"    Margin of Error","*****"
"Tippecanoe County, Indiana",""
"    Estimate","189,071"
"    Margin of Error","*****"
"Tipton County, Indiana",""
"    Estimate","15,346"
"    Margin of Error","*****"
"Union County, Indiana",""
"    Estimate","6,985"
"    Margin of Error","*****"
"Vanderburgh County, Indiana",""
"    Estimate","180,117"
"    Margin of Error","*****"
"Vermillion County, Indiana",""
"    Estimate","15,421"
"    Margin of Error","*****"
"Vigo County, Indiana",""
"    Estimate","106,109"
"    Margin of Error","*****"
"Wabash County, Indiana",""
"    Estimate","30,844"
"    Margin of Error","*****"
"Warren County, Indiana",""
"    Estimate","8,464"
"    Margin of Error","*****"
"Warrick County, Indiana",""
"    Estimate","65,261"
"    Margin of Error","*****"
"Washington County, Indiana",""
"    Estimate","28,212"
"    Margin of Error","*****"
"Wayne County, Indiana",""
"    Estimate","66,397"
"    Margin of Error","*****"
"Wells County, Indiana",""
"    Estimate","28,420"
"    Margin of Error","*****"
"White County, Indiana",""
"    Estimate","24,717"
"    Margin of Error","*****"
"Whitley County, Indiana",""
"    Estimate","34,618"
"    Margin of Error","*****"
"Adair County, Iowa",""
"    Estimate","7,460"
"    Margin of Error","*****"
"Adams County, Iowa",""
"    Estimate","3,622"
"    Margin of Error","*****"
"Allamakee County, Iowa",""
"    Estimate","14,092"
"    Margin of Error","*****"
"Appanoose County, Iowa",""
"    Estimate","12,184"
"    Margin of Error","*****"
"Audubon County, Iowa",""
"    Estimate","5,599"
"    Margin of Error","*****"
"Benton County, Iowa",""
"    Estimate","25,724"
"    Margin of Error","*****"
"Black Hawk County, Iowa",""
"    Estimate","131,049"
"    Margin of Error","*****"
"Boone County, Iowa",""
"    Estimate","26,668"
"    Margin of Error","*****"
"Bremer County, Iowa",""
"    Estimate","25,204"
"    Margin of Error","*****"
"Buchanan County, Iowa",""
"    Estimate","20,694"
"    Margin of Error","*****"
"Buena Vista County, Iowa",""
"    Estimate","20,753"
"    Margin of Error","*****"
"Butler County, Iowa",""
"    Estimate","14,268"
"    Margin of Error","*****"
"Calhoun County, Iowa",""
"    Estimate","9,803"
"    Margin of Error","*****"
"Carroll County, Iowa",""
"    Estimate","20,594"
"    Margin of Error","*****"
"Cass County, Iowa",""
"    Estimate","13,096"
"    Margin of Error","*****"
"Cedar County, Iowa",""
"    Estimate","18,349"
"    Margin of Error","*****"
"Cerro Gordo County, Iowa",""
"    Estimate","42,632"
"    Margin of Error","*****"
"Cherokee County, Iowa",""
"    Estimate","11,600"
"    Margin of Error","*****"
"Chickasaw County, Iowa",""
"    Estimate","11,807"
"    Margin of Error","*****"
"Clarke County, Iowa",""
"    Estimate","9,662"
"    Margin of Error","*****"
"Clay County, Iowa",""
"    Estimate","16,461"
"    Margin of Error","*****"
"Clayton County, Iowa",""
"    Estimate","17,013"
"    Margin of Error","*****"
"Clinton County, Iowa",""
"    Estimate","46,268"
"    Margin of Error","*****"
"Crawford County, Iowa",""
"    Estimate","16,277"
"    Margin of Error","*****"
"Dallas County, Iowa",""
"    Estimate","107,968"
"    Margin of Error","*****"
"Davis County, Iowa",""
"    Estimate","9,157"
"    Margin of Error","*****"
"Decatur County, Iowa",""
"    Estimate","7,759"
"    Margin of Error","*****"
"Delaware County, Iowa",""
"    Estimate","17,558"
"    Margin of Error","*****"
"Des Moines County, Iowa",""
"    Estimate","38,487"
"    Margin of Error","*****"
"Dickinson County, Iowa",""
"    Estimate","17,990"
"    Margin of Error","*****"
"Dubuque County, Iowa",""
"    Estimate","99,030"
"    Margin of Error","*****"
"Emmet County, Iowa",""
"    Estimate","9,262"
"    Margin of Error","*****"
"Fayette County, Iowa",""
"    Estimate","19,288"
"    Margin of Error","*****"
"Floyd County, Iowa",""
"    Estimate","15,328"
"    Margin of Error","*****"
"Franklin County, Iowa",""
"    Estimate","9,956"
"    Margin of Error","*****"
"Fremont County, Iowa",""
"    Estimate","6,514"
"    Margin of Error","*****"
"Greene County, Iowa",""
"    Estimate","8,688"
"    Margin of Error","*****"
"Grundy County, Iowa",""
"    Estimate","12,384"
"    Margin of Error","*****"
"Guthrie County, Iowa",""
"    Estimate","10,688"
"    Margin of Error","*****"
"Hamilton County, Iowa",""
"    Estimate","14,886"
"    Margin of Error","*****"
"Hancock County, Iowa",""
"    Estimate","10,671"
"    Margin of Error","*****"
"Hardin County, Iowa",""
"    Estimate","16,639"
"    Margin of Error","*****"
"Harrison County, Iowa",""
"    Estimate","14,632"
"    Margin of Error","*****"
"Henry County, Iowa",""
"    Estimate","20,004"
"    Margin of Error","*****"
"Howard County, Iowa",""
"    Estimate","9,445"
"    Margin of Error","*****"
"Humboldt County, Iowa",""
"    Estimate","9,591"
"    Margin of Error","*****"
"Ida County, Iowa",""
"    Estimate","6,911"
"    Margin of Error","*****"
"Iowa County, Iowa",""
"    Estimate","16,507"
"    Margin of Error","*****"
"Jackson County, Iowa",""
"    Estimate","19,390"
"    Margin of Error","*****"
"Jasper County, Iowa",""
"    Estimate","37,954"
"    Margin of Error","*****"
"Jefferson County, Iowa",""
"    Estimate","15,705"
"    Margin of Error","*****"
"Johnson County, Iowa",""
"    Estimate","156,639"
"    Margin of Error","*****"
"Jones County, Iowa",""
"    Estimate","20,896"
"    Margin of Error","*****"
"Keokuk County, Iowa",""
"    Estimate","9,924"
"    Margin of Error","*****"
"Kossuth County, Iowa",""
"    Estimate","14,516"
"    Margin of Error","*****"
"Lee County, Iowa",""
"    Estimate","32,893"
"    Margin of Error","*****"
"Linn County, Iowa",""
"    Estimate","230,004"
"    Margin of Error","*****"
"Louisa County, Iowa",""
"    Estimate","10,678"
"    Margin of Error","*****"
"Lucas County, Iowa",""
"    Estimate","8,716"
"    Margin of Error","*****"
"Lyon County, Iowa",""
"    Estimate","12,162"
"    Margin of Error","*****"
"Madison County, Iowa",""
"    Estimate","16,926"
"    Margin of Error","*****"
"Mahaska County, Iowa",""
"    Estimate","22,021"
"    Margin of Error","*****"
"Marion County, Iowa",""
"    Estimate","33,642"
"    Margin of Error","*****"
"Marshall County, Iowa",""
"    Estimate","40,114"
"    Margin of Error","*****"
"Mills County, Iowa",""
"    Estimate","14,568"
"    Margin of Error","*****"
"Mitchell County, Iowa",""
"    Estimate","10,575"
"    Margin of Error","*****"
"Monona County, Iowa",""
"    Estimate","8,557"
"    Margin of Error","*****"
"Monroe County, Iowa",""
"    Estimate","7,513"
"    Margin of Error","*****"
"Montgomery County, Iowa",""
"    Estimate","10,214"
"    Margin of Error","*****"
"Muscatine County, Iowa",""
"    Estimate","42,559"
"    Margin of Error","*****"
"O'Brien County, Iowa",""
"    Estimate","14,126"
"    Margin of Error","*****"
"Osceola County, Iowa",""
"    Estimate","6,100"
"    Margin of Error","*****"
"Page County, Iowa",""
"    Estimate","15,131"
"    Margin of Error","*****"
"Palo Alto County, Iowa",""
"    Estimate","8,863"
"    Margin of Error","*****"
"Plymouth County, Iowa",""
"    Estimate","25,747"
"    Margin of Error","*****"
"Pocahontas County, Iowa",""
"    Estimate","7,046"
"    Margin of Error","*****"
"Polk County, Iowa",""
"    Estimate","503,175"
"    Margin of Error","*****"
"Pottawattamie County, Iowa",""
"    Estimate","93,424"
"    Margin of Error","*****"
"Poweshiek County, Iowa",""
"    Estimate","18,545"
"    Margin of Error","*****"
"Ringgold County, Iowa",""
"    Estimate","4,645"
"    Margin of Error","*****"
"Sac County, Iowa",""
"    Estimate","9,689"
"    Margin of Error","*****"
"Scott County, Iowa",""
"    Estimate","174,608"
"    Margin of Error","*****"
"Shelby County, Iowa",""
"    Estimate","11,778"
"    Margin of Error","*****"
"Sioux County, Iowa",""
"    Estimate","36,212"
"    Margin of Error","*****"
"Story County, Iowa",""
"    Estimate","100,466"
"    Margin of Error","*****"
"Tama County, Iowa",""
"    Estimate","16,868"
"    Margin of Error","*****"
"Taylor County, Iowa",""
"    Estimate","5,868"
"    Margin of Error","*****"
"Union County, Iowa",""
"    Estimate","11,993"
"    Margin of Error","*****"
"Van Buren County, Iowa",""
"    Estimate","7,241"
"    Margin of Error","*****"
"Wapello County, Iowa",""
"    Estimate","35,362"
"    Margin of Error","*****"
"Warren County, Iowa",""
"    Estimate","54,409"
"    Margin of Error","*****"
"Washington County, Iowa",""
"    Estimate","22,561"
"    Margin of Error","*****"
"Wayne County, Iowa",""
"    Estimate","6,532"
"    Margin of Error","*****"
"Webster County, Iowa",""
"    Estimate","36,886"
"    Margin of Error","*****"
"Winnebago County, Iowa",""
"    Estimate","10,583"
"    Margin of Error","*****"
"Winneshiek County, Iowa",""
"    Estimate","19,873"
"    Margin of Error","*****"
"Woodbury County, Iowa",""
"    Estimate","106,247"
"    Margin of Error","*****"
"Worth County, Iowa",""
"    Estimate","7,350"
"    Margin of Error","*****"
"Wright County, Iowa",""
"    Estimate","12,791"
"    Margin of Error","*****"
"Allen County, Kansas",""
"    Estimate","12,483"
"    Margin of Error","*****"
"Anderson County, Kansas",""
"    Estimate","7,834"
"    Margin of Error","*****"
"Atchison County, Kansas",""
"    Estimate","16,208"
"    Margin of Error","*****"
"Barber County, Kansas",""
"    Estimate","4,069"
"    Margin of Error","±174"
"Barton County, Kansas",""
"    Estimate","25,097"
"    Margin of Error","*****"
"Bourbon County, Kansas",""
"    Estimate","14,394"
"    Margin of Error","*****"
"Brown County, Kansas",""
"    Estimate","9,343"
"    Margin of Error","*****"
"Butler County, Kansas",""
"    Estimate","68,287"
"    Margin of Error","*****"
"Chase County, Kansas",""
"    Estimate","2,561"
"    Margin of Error","*****"
"Chautauqua County, Kansas",""
"    Estimate","3,370"
"    Margin of Error","*****"
"Cherokee County, Kansas",""
"    Estimate","19,151"
"    Margin of Error","*****"
"Cheyenne County, Kansas",""
"    Estimate","2,628"
"    Margin of Error","*****"
"Clark County, Kansas",""
"    Estimate","1,974"
"    Margin of Error","±166"
"Clay County, Kansas",""
"    Estimate","8,048"
"    Margin of Error","*****"
"Cloud County, Kansas",""
"    Estimate","8,898"
"    Margin of Error","*****"
"Coffey County, Kansas",""
"    Estimate","8,308"
"    Margin of Error","*****"
"Comanche County, Kansas",""
"    Estimate","1,729"
"    Margin of Error","±174"
"Cowley County, Kansas",""
"    Estimate","34,411"
"    Margin of Error","*****"
"Crawford County, Kansas",""
"    Estimate","39,008"
"    Margin of Error","*****"
"Decatur County, Kansas",""
"    Estimate","2,726"
"    Margin of Error","*****"
"Dickinson County, Kansas",""
"    Estimate","18,445"
"    Margin of Error","*****"
"Doniphan County, Kansas",""
"    Estimate","7,503"
"    Margin of Error","*****"
"Douglas County, Kansas",""
"    Estimate","120,302"
"    Margin of Error","*****"
"Edwards County, Kansas",""
"    Estimate","2,779"
"    Margin of Error","*****"
"Elk County, Kansas",""
"    Estimate","2,453"
"    Margin of Error","*****"
"Ellis County, Kansas",""
"    Estimate","28,920"
"    Margin of Error","*****"
"Ellsworth County, Kansas",""
"    Estimate","6,360"
"    Margin of Error","*****"
"Finney County, Kansas",""
"    Estimate","38,084"
"    Margin of Error","*****"
"Ford County, Kansas",""
"    Estimate","34,074"
"    Margin of Error","*****"
"Franklin County, Kansas",""
"    Estimate","26,106"
"    Margin of Error","*****"
"Geary County, Kansas",""
"    Estimate","35,815"
"    Margin of Error","*****"
"Gove County, Kansas",""
"    Estimate","2,799"
"    Margin of Error","±149"
"Graham County, Kansas",""
"    Estimate","2,389"
"    Margin of Error","*****"
"Grant County, Kansas",""
"    Estimate","7,229"
"    Margin of Error","*****"
"Gray County, Kansas",""
"    Estimate","5,701"
"    Margin of Error","*****"
"Greeley County, Kansas",""
"    Estimate","1,304"
"    Margin of Error","±122"
"Greenwood County, Kansas",""
"    Estimate","5,919"
"    Margin of Error","*****"
"Hamilton County, Kansas",""
"    Estimate","2,471"
"    Margin of Error","*****"
"Harper County, Kansas",""
