"Label (Grouping)","HOUSING TENURE!!Occupied housing units!!Owner-occupied"
"Black Hawk County, Iowa",""
"    Estimate","36,139"
"    Percent","66.2%"
"Boone County, Iowa",""
"    Estimate","8,749"
"    Percent","80.0%"
"Bremer County, Iowa",""
"    Estimate","7,740"
"    Percent","79.7%"
"Buchanan County, Iowa",""
"    Estimate","6,777"
"    Percent","82.1%"
"Buena Vista County, Iowa",""
"    Estimate","5,525"
"    Percent","73.2%"
"Butler County, Iowa",""
"    Estimate","4,931"
"    Percent","84.1%"
"Calhoun County, Iowa",""
"    Estimate","3,215"
"    Percent","80.5%"
"Carroll County, Iowa",""
"    Estimate","6,784"
"    Percent","77.1%"
"Cass County, Iowa",""
"    Estimate","4,182"
"    Percent","71.6%"
"Cedar County, Iowa",""
"    Estimate","6,210"
"    Percent","81.5%"
"Cerro Gordo County, Iowa",""
"    Estimate","13,745"
"    Percent","70.4%"
"Cherokee County, Iowa",""
"    Estimate","3,810"
"    Percent","75.5%"
"Chickasaw County, Iowa",""
"    Estimate","4,044"
"    Percent","80.9%"
"Clarke County, Iowa",""
"    Estimate","2,944"
"    Percent","72.3%"
"Clay County, Iowa",""
"    Estimate","5,340"
"    Percent","73.3%"
"Clayton County, Iowa",""
"    Estimate","5,856"
"    Percent","78.0%"
"Clinton County, Iowa",""
"    Estimate","14,541"
"    Percent","74.5%"
"Crawford County, Iowa",""
"    Estimate","4,810"
"    Percent","76.0%"
"Dallas County, Iowa",""
"    Estimate","29,326"
"    Percent","69.0%"
"Davis County, Iowa",""
"    Estimate","2,665"
"    Percent","83.3%"
"Decatur County, Iowa",""
"    Estimate","2,130"
"    Percent","69.7%"
"Delaware County, Iowa",""
"    Estimate","5,865"
"    Percent","79.6%"
"Des Moines County, Iowa",""
"    Estimate","12,823"
"    Percent","74.6%"
"Dickinson County, Iowa",""
"    Estimate","6,851"
"    Percent","77.5%"
"Dubuque County, Iowa",""
"    Estimate","30,062"
"    Percent","73.3%"
"Emmet County, Iowa",""
"    Estimate","3,226"
"    Percent","79.4%"
"Fayette County, Iowa",""
"    Estimate","6,385"
"    Percent","76.5%"
"Floyd County, Iowa",""
"    Estimate","4,982"
"    Percent","76.6%"
"Franklin County, Iowa",""
"    Estimate","3,040"
"    Percent","72.4%"
"Fremont County, Iowa",""
"    Estimate","2,211"
"    Percent","78.3%"
"Greene County, Iowa",""
"    Estimate","2,997"
"    Percent","76.4%"
"Grundy County, Iowa",""
"    Estimate","4,323"
"    Percent","84.5%"
"Guthrie County, Iowa",""
"    Estimate","3,864"
"    Percent","84.0%"
"Hamilton County, Iowa",""
"    Estimate","4,721"
"    Percent","73.4%"
"Hancock County, Iowa",""
"    Estimate","3,853"
"    Percent","82.5%"
"Hardin County, Iowa",""
"    Estimate","5,177"
"    Percent","73.6%"
"Harrison County, Iowa",""
"    Estimate","4,697"
"    Percent","77.1%"
"Henry County, Iowa",""
"    Estimate","5,667"
"    Percent","74.1%"
"Howard County, Iowa",""
"    Estimate","2,921"
"    Percent","77.4%"
"Humboldt County, Iowa",""
"    Estimate","3,255"
"    Percent","77.2%"
"Ida County, Iowa",""
"    Estimate","2,224"
"    Percent","72.9%"
"Iowa County, Iowa",""
"    Estimate","5,292"
"    Percent","76.6%"
"Jackson County, Iowa",""
"    Estimate","6,653"
"    Percent","80.7%"
"Jasper County, Iowa",""
"    Estimate","10,859"
"    Percent","72.3%"
"Jefferson County, Iowa",""
"    Estimate","4,706"
"    Percent","67.7%"
"Johnson County, Iowa",""
"    Estimate","37,605"
"    Percent","59.4%"
"Jones County, Iowa",""
"    Estimate","6,606"
"    Percent","80.6%"
"Keokuk County, Iowa",""
"    Estimate","3,306"
"    Percent","81.3%"
"Kossuth County, Iowa",""
"    Estimate","5,144"
"    Percent","78.6%"
"Lee County, Iowa",""
"    Estimate","10,934"
"    Percent","76.3%"
"Linn County, Iowa",""
"    Estimate","70,274"
"    Percent","73.5%"
"Louisa County, Iowa",""
"    Estimate","3,401"
"    Percent","80.3%"
"Lucas County, Iowa",""
"    Estimate","2,921"
"    Percent","78.8%"
"Lyon County, Iowa",""
"    Estimate","3,624"
"    Percent","80.9%"
"Madison County, Iowa",""
"    Estimate","5,366"
"    Percent","80.1%"
"Mahaska County, Iowa",""
"    Estimate","5,942"
"    Percent","68.0%"
"Marion County, Iowa",""
"    Estimate","10,346"
"    Percent","77.7%"
"Marshall County, Iowa",""
"    Estimate","11,622"
"    Percent","75.0%"
"Mills County, Iowa",""
"    Estimate","4,506"
"    Percent","83.5%"
"Mitchell County, Iowa",""
"    Estimate","3,677"
"    Percent","80.0%"
"Monona County, Iowa",""
"    Estimate","2,935"
"    Percent","75.7%"
"Monroe County, Iowa",""
"    Estimate","2,511"
"    Percent","81.3%"
"Montgomery County, Iowa",""
"    Estimate","3,170"
"    Percent","69.1%"
"Muscatine County, Iowa",""
"    Estimate","12,820"
"    Percent","73.9%"
"O'Brien County, Iowa",""
"    Estimate","4,421"
"    Percent","76.1%"
"Osceola County, Iowa",""
"    Estimate","2,051"
"    Percent","77.9%"
"Page County, Iowa",""
"    Estimate","4,412"
"    Percent","70.5%"
"Palo Alto County, Iowa",""
"    Estimate","2,915"
"    Percent","77.1%"
"Plymouth County, Iowa",""
"    Estimate","7,591"
"    Percent","73.6%"
"Pocahontas County, Iowa",""
"    Estimate","2,318"
"    Percent","77.3%"
"Polk County, Iowa",""
"    Estimate","138,309"
"    Percent","67.4%"
"Pottawattamie County, Iowa",""
"    Estimate","26,311"
"    Percent","69.9%"
"Poweshiek County, Iowa",""
"    Estimate","5,557"
"    Percent","71.2%"
"Ringgold County, Iowa",""
"    Estimate","1,490"
"    Percent","78.5%"
"Sac County, Iowa",""
"    Estimate","3,356"
"    Percent","78.0%"
"Scott County, Iowa",""
"    Estimate","51,176"
"    Percent","70.0%"
"Shelby County, Iowa",""
"    Estimate","3,798"
"    Percent","77.8%"
"Sioux County, Iowa",""
"    Estimate","9,661"
"    Percent","76.1%"
"Story County, Iowa",""
"    Estimate","21,599"
"    Percent","55.5%"
"Tama County, Iowa",""
"    Estimate","5,104"
"    Percent","76.0%"
"Taylor County, Iowa",""
"    Estimate","1,938"
"    Percent","77.9%"
"Union County, Iowa",""
"    Estimate","3,690"
"    Percent","72.1%"
"Van Buren County, Iowa",""
"    Estimate","2,364"
"    Percent","81.6%"
"Wapello County, Iowa",""
"    Estimate","9,575"
"    Percent","68.4%"
"Warren County, Iowa",""
"    Estimate","17,027"
"    Percent","82.3%"
"Washington County, Iowa",""
"    Estimate","6,641"
"    Percent","74.0%"
"Wayne County, Iowa",""
"    Estimate","2,075"
"    Percent","80.9%"
"Webster County, Iowa",""
"    Estimate","10,815"
"    Percent","70.3%"
"Winnebago County, Iowa",""
"    Estimate","3,277"
"    Percent","70.6%"
"Winneshiek County, Iowa",""
"    Estimate","6,039"
"    Percent","74.2%"
"Woodbury County, Iowa",""
"    Estimate","27,754"
"    Percent","68.2%"
"Worth County, Iowa",""
"    Estimate","2,644"
"    Percent","83.2%"
"Wright County, Iowa",""
"    Estimate","4,122"
"    Percent","77.0%"
"Allen County, Kansas",""
"    Estimate","3,780"
"    Percent","75.4%"
"Anderson County, Kansas",""
"    Estimate","2,531"
"    Percent","78.9%"
"Atchison County, Kansas",""
"    Estimate","4,124"
"    Percent","71.9%"
"Barber County, Kansas",""
"    Estimate","1,480"
"    Percent","81.0%"
"Barton County, Kansas",""
"    Estimate","6,764"
"    Percent","65.2%"
"Bourbon County, Kansas",""
"    Estimate","4,324"
"    Percent","74.0%"
"Brown County, Kansas",""
"    Estimate","2,896"
"    Percent","76.3%"
"Butler County, Kansas",""
"    Estimate","19,653"
"    Percent","77.6%"
"Chase County, Kansas",""
"    Estimate","841"
"    Percent","73.3%"
"Chautauqua County, Kansas",""
"    Estimate","1,112"
"    Percent","82.0%"
"Cherokee County, Kansas",""
"    Estimate","5,957"
"    Percent","75.5%"
"Cheyenne County, Kansas",""
"    Estimate","942"
"    Percent","77.9%"
"Clark County, Kansas",""
"    Estimate","580"
"    Percent","73.6%"
"Clay County, Kansas",""
"    Estimate","2,747"
"    Percent","78.0%"
"Cloud County, Kansas",""
"    Estimate","2,825"
"    Percent","74.0%"
"Coffey County, Kansas",""
"    Estimate","2,691"
"    Percent","75.9%"
"Comanche County, Kansas",""
"    Estimate","605"
"    Percent","73.4%"
"Cowley County, Kansas",""
"    Estimate","9,117"
"    Percent","68.1%"
"Crawford County, Kansas",""
"    Estimate","9,628"
"    Percent","60.8%"
"Decatur County, Kansas",""
"    Estimate","1,031"
"    Percent","77.7%"
"Dickinson County, Kansas",""
"    Estimate","6,298"
"    Percent","78.6%"
"Doniphan County, Kansas",""
"    Estimate","2,208"
"    Percent","81.1%"
"Douglas County, Kansas",""
"    Estimate","25,246"
"    Percent","50.1%"
"Edwards County, Kansas",""
"    Estimate","920"
"    Percent","79.2%"
"Elk County, Kansas",""
"    Estimate","787"
"    Percent","78.8%"
"Ellis County, Kansas",""
"    Estimate","7,742"
"    Percent","63.2%"
"Ellsworth County, Kansas",""
"    Estimate","1,968"
"    Percent","80.2%"
"Finney County, Kansas",""
"    Estimate","8,589"
"    Percent","64.9%"
"Ford County, Kansas",""
"    Estimate","7,371"
"    Percent","62.5%"
"Franklin County, Kansas",""
"    Estimate","7,518"
"    Percent","72.2%"
"Geary County, Kansas",""
"    Estimate","6,161"
"    Percent","43.5%"
"Gove County, Kansas",""
"    Estimate","927"
"    Percent","79.4%"
"Graham County, Kansas",""
"    Estimate","939"
"    Percent","78.8%"
"Grant County, Kansas",""
"    Estimate","1,824"
"    Percent","76.7%"
"Gray County, Kansas",""
"    Estimate","1,646"
"    Percent","77.1%"
"Greeley County, Kansas",""
"    Estimate","406"
"    Percent","75.0%"
"Greenwood County, Kansas",""
"    Estimate","2,145"
"    Percent","80.5%"
"Hamilton County, Kansas",""
"    Estimate","584"
"    Percent","77.1%"
"Harper County, Kansas",""
"    Estimate","1,657"
"    Percent","75.1%"
"Harvey County, Kansas",""
"    Estimate","9,569"
"    Percent","69.8%"
"Haskell County, Kansas",""
"    Estimate","1,070"
"    Percent","76.3%"
"Hodgeman County, Kansas",""
"    Estimate","551"
"    Percent","79.1%"
"Jackson County, Kansas",""
"    Estimate","3,865"
"    Percent","77.1%"
"Jefferson County, Kansas",""
"    Estimate","6,352"
"    Percent","85.7%"
"Jewell County, Kansas",""
"    Estimate","976"
"    Percent","74.1%"
"Johnson County, Kansas",""
"    Estimate","171,016"
"    Percent","68.5%"
"Kearny County, Kansas",""
"    Estimate","1,023"
"    Percent","71.7%"
"Kingman County, Kansas",""
"    Estimate","2,098"
"    Percent","66.3%"
"Kiowa County, Kansas",""
"    Estimate","697"
"    Percent","73.0%"
"Labette County, Kansas",""
"    Estimate","5,978"
"    Percent","74.0%"
"Lane County, Kansas",""
"    Estimate","630"
"    Percent","88.9%"
"Leavenworth County, Kansas",""
"    Estimate","20,910"
"    Percent","69.3%"
"Lincoln County, Kansas",""
"    Estimate","1,028"
"    Percent","80.4%"
"Linn County, Kansas",""
"    Estimate","3,528"
"    Percent","81.1%"
"Logan County, Kansas",""
"    Estimate","805"
"    Percent","64.9%"
"Lyon County, Kansas",""
"    Estimate","7,801"
"    Percent","57.9%"
"McPherson County, Kansas",""
"    Estimate","9,179"
"    Percent","75.5%"
"Marion County, Kansas",""
"    Estimate","3,862"
"    Percent","81.3%"
"Marshall County, Kansas",""
"    Estimate","3,340"
"    Percent","80.0%"
"Meade County, Kansas",""
"    Estimate","1,111"
"    Percent","74.0%"
"Miami County, Kansas",""
"    Estimate","10,745"
"    Percent","78.2%"
"Mitchell County, Kansas",""
"    Estimate","1,850"
"    Percent","69.0%"
"Montgomery County, Kansas",""
"    Estimate","9,392"
"    Percent","72.9%"
"Morris County, Kansas",""
"    Estimate","2,043"
"    Percent","80.1%"
"Morton County, Kansas",""
"    Estimate","830"
"    Percent","85.4%"
"Nemaha County, Kansas",""
"    Estimate","3,144"
"    Percent","78.0%"
"Neosho County, Kansas",""
"    Estimate","4,989"
"    Percent","77.2%"
"Ness County, Kansas",""
"    Estimate","947"
"    Percent","81.6%"
"Norton County, Kansas",""
"    Estimate","1,524"
"    Percent","76.2%"
"Osage County, Kansas",""
"    Estimate","5,297"
"    Percent","82.4%"
"Osborne County, Kansas",""
"    Estimate","1,219"
"    Percent","77.2%"
"Ottawa County, Kansas",""
"    Estimate","1,858"
"    Percent","77.2%"
"Pawnee County, Kansas",""
"    Estimate","1,582"
"    Percent","66.2%"
"Phillips County, Kansas",""
"    Estimate","1,773"
"    Percent","78.0%"
"Pottawatomie County, Kansas",""
"    Estimate","7,713"
"    Percent","82.2%"
"Pratt County, Kansas",""
"    Estimate","2,540"
"    Percent","73.2%"
"Rawlins County, Kansas",""
"    Estimate","827"
"    Percent","70.7%"
"Reno County, Kansas",""
"    Estimate","17,708"
"    Percent","69.2%"
"Republic County, Kansas",""
"    Estimate","1,560"
"    Percent","78.2%"
"Rice County, Kansas",""
"    Estimate","2,875"
"    Percent","77.4%"
"Riley County, Kansas",""
"    Estimate","12,763"
"    Percent","46.1%"
"Rooks County, Kansas",""
"    Estimate","1,587"
"    Percent","74.3%"
"Rush County, Kansas",""
"    Estimate","1,076"
"    Percent","77.6%"
"Russell County, Kansas",""
"    Estimate","2,327"
"    Percent","75.1%"
"Saline County, Kansas",""
"    Estimate","15,121"
"    Percent","67.1%"
"Scott County, Kansas",""
"    Estimate","1,538"
"    Percent","67.2%"
"Sedgwick County, Kansas",""
"    Estimate","130,395"
"    Percent","63.1%"
"Seward County, Kansas",""
"    Estimate","4,485"
"    Percent","61.8%"
"Shawnee County, Kansas",""
"    Estimate","50,393"
"    Percent","66.8%"
"Sheridan County, Kansas",""
"    Estimate","758"
"    Percent","76.8%"
"Sherman County, Kansas",""
"    Estimate","1,605"
"    Percent","65.5%"
"Smith County, Kansas",""
"    Estimate","1,338"
"    Percent","84.8%"
"Stafford County, Kansas",""
"    Estimate","1,300"
"    Percent","82.3%"
"Stanton County, Kansas",""
"    Estimate","655"
"    Percent","76.5%"
"Stevens County, Kansas",""
"    Estimate","1,406"
"    Percent","74.5%"
"Sumner County, Kansas",""
"    Estimate","6,733"
"    Percent","75.1%"
"Thomas County, Kansas",""
"    Estimate","2,362"
"    Percent","75.2%"
"Trego County, Kansas",""
"    Estimate","1,124"
"    Percent","82.2%"
"Wabaunsee County, Kansas",""
"    Estimate","2,176"
"    Percent","81.1%"
"Wallace County, Kansas",""
"    Estimate","448"
"    Percent","74.8%"
"Washington County, Kansas",""
"    Estimate","1,862"
"    Percent","78.5%"
"Wichita County, Kansas",""
"    Estimate","643"
"    Percent","78.0%"
"Wilson County, Kansas",""
"    Estimate","2,734"
"    Percent","77.7%"
"Woodson County, Kansas",""
"    Estimate","1,061"
"    Percent","84.6%"
"Wyandotte County, Kansas",""
"    Estimate","38,150"
"    Percent","62.0%"
"Adair County, Kentucky",""
"    Estimate","5,510"
"    Percent","77.2%"
"Allen County, Kentucky",""
"    Estimate","5,983"
"    Percent","74.5%"
"Anderson County, Kentucky",""
"    Estimate","7,492"
"    Percent","77.6%"
"Ballard County, Kentucky",""
"    Estimate","2,438"
"    Percent","76.0%"
"Barren County, Kentucky",""
"    Estimate","11,743"
"    Percent","65.2%"
"Bath County, Kentucky",""
"    Estimate","3,510"
"    Percent","74.7%"
"Bell County, Kentucky",""
"    Estimate","5,847"
"    Percent","58.8%"
"Boone County, Kentucky",""
"    Estimate","38,868"
"    Percent","76.3%"
"Bourbon County, Kentucky",""
"    Estimate","5,181"
"    Percent","63.7%"
"Boyd County, Kentucky",""
"    Estimate","13,549"
"    Percent","70.2%"
"Boyle County, Kentucky",""
"    Estimate","8,185"
"    Percent","68.0%"
"Bracken County, Kentucky",""
"    Estimate","2,642"
"    Percent","78.5%"
"Breathitt County, Kentucky",""
"    Estimate","4,185"
"    Percent","76.6%"
"Breckinridge County, Kentucky",""
"    Estimate","6,569"
"    Percent","81.4%"
"Bullitt County, Kentucky",""
"    Estimate","26,962"
"    Percent","84.9%"
"Butler County, Kentucky",""
"    Estimate","3,367"
"    Percent","73.7%"
"Caldwell County, Kentucky",""
"    Estimate","3,528"
"    Percent","70.2%"
"Calloway County, Kentucky",""
"    Estimate","9,738"
"    Percent","63.9%"
"Campbell County, Kentucky",""
"    Estimate","27,886"
"    Percent","71.1%"
"Carlisle County, Kentucky",""
"    Estimate","1,499"
"    Percent","80.4%"
"Carroll County, Kentucky",""
"    Estimate","2,747"
"    Percent","65.7%"
"Carter County, Kentucky",""
"    Estimate","8,639"
"    Percent","80.0%"
"Casey County, Kentucky",""
"    Estimate","5,167"
"    Percent","79.7%"
"Christian County, Kentucky",""
"    Estimate","12,874"
"    Percent","50.0%"
"Clark County, Kentucky",""
"    Estimate","10,640"
"    Percent","70.7%"
"Clay County, Kentucky",""
"    Estimate","5,565"
"    Percent","76.4%"
"Clinton County, Kentucky",""
"    Estimate","2,742"
"    Percent","71.1%"
"Crittenden County, Kentucky",""
"    Estimate","2,771"
"    Percent","78.2%"
"Cumberland County, Kentucky",""
"    Estimate","1,986"
"    Percent","75.5%"
"Daviess County, Kentucky",""
"    Estimate","28,341"
"    Percent","68.1%"
"Edmonson County, Kentucky",""
"    Estimate","4,086"
"    Percent","80.1%"
"Elliott County, Kentucky",""
"    Estimate","1,993"
"    Percent","81.7%"
"Estill County, Kentucky",""
"    Estimate","4,207"
"    Percent","70.4%"
"Fayette County, Kentucky",""
"    Estimate","75,121"
"    Percent","53.8%"
"Fleming County, Kentucky",""
"    Estimate","4,384"
"    Percent","74.8%"
"Floyd County, Kentucky",""
"    Estimate","10,611"
"    Percent","72.2%"
"Franklin County, Kentucky",""
"    Estimate","14,646"
"    Percent","64.5%"
"Fulton County, Kentucky",""
"    Estimate","1,576"
"    Percent","61.8%"
"Gallatin County, Kentucky",""
"    Estimate","2,451"
"    Percent","75.1%"
"Garrard County, Kentucky",""
"    Estimate","5,349"
"    Percent","79.9%"
"Grant County, Kentucky",""
"    Estimate","6,930"
"    Percent","75.1%"
"Graves County, Kentucky",""
"    Estimate","10,755"
"    Percent","76.1%"
"Grayson County, Kentucky",""
"    Estimate","7,553"
"    Percent","74.6%"
"Green County, Kentucky",""
"    Estimate","3,431"
"    Percent","77.6%"
"Greenup County, Kentucky",""
"    Estimate","11,837"
"    Percent","80.3%"
"Hancock County, Kentucky",""
"    Estimate","2,807"
"    Percent","77.2%"
"Hardin County, Kentucky",""
"    Estimate","27,921"
"    Percent","62.6%"
"Harlan County, Kentucky",""
"    Estimate","7,680"
"    Percent","71.6%"
"Harrison County, Kentucky",""
"    Estimate","5,209"
"    Percent","71.4%"
"Hart County, Kentucky",""
"    Estimate","5,343"
"    Percent","72.4%"
"Henderson County, Kentucky",""
"    Estimate","12,015"
"    Percent","64.9%"
"Henry County, Kentucky",""
"    Estimate","4,688"
"    Percent","76.3%"
"Hickman County, Kentucky",""
"    Estimate","1,226"
"    Percent","70.8%"
"Hopkins County, Kentucky",""
"    Estimate","13,009"
"    Percent","70.7%"
"Jackson County, Kentucky",""
"    Estimate","3,964"
"    Percent","77.4%"
"Jefferson County, Kentucky",""
"    Estimate","205,981"
"    Percent","62.1%"
"Jessamine County, Kentucky",""
"    Estimate","13,291"
"    Percent","66.7%"
"Johnson County, Kentucky",""
"    Estimate","6,173"
"    Percent","68.3%"
"Kenton County, Kentucky",""
"    Estimate","47,658"
"    Percent","70.7%"
"Knott County, Kentucky",""
"    Estimate","4,016"
"    Percent","72.7%"
"Knox County, Kentucky",""
"    Estimate","7,650"
"    Percent","65.3%"
"Larue County, Kentucky",""
"    Estimate","4,760"
"    Percent","79.4%"
"Laurel County, Kentucky",""
"    Estimate","17,185"
"    Percent","71.6%"
"Lawrence County, Kentucky",""
"    Estimate","4,934"
"    Percent","77.8%"
"Lee County, Kentucky",""
"    Estimate","2,017"
"    Percent","77.7%"
"Leslie County, Kentucky",""
"    Estimate","3,619"
"    Percent","85.5%"
"Letcher County, Kentucky",""
"    Estimate","6,274"
"    Percent","74.1%"
"Lewis County, Kentucky",""
"    Estimate","3,974"
"    Percent","79.2%"
"Lincoln County, Kentucky",""
"    Estimate","7,417"
"    Percent","76.4%"
"Livingston County, Kentucky",""
"    Estimate","2,925"
"    Percent","81.2%"
"Logan County, Kentucky",""
"    Estimate","8,175"
"    Percent","74.3%"
"Lyon County, Kentucky",""
"    Estimate","2,749"
"    Percent","80.4%"
"McCracken County, Kentucky",""
"    Estimate","19,024"
"    Percent","68.9%"
"McCreary County, Kentucky",""
"    Estimate","4,351"
"    Percent","74.2%"
"McLean County, Kentucky",""
"    Estimate","3,013"
"    Percent","82.8%"
"Madison County, Kentucky",""
"    Estimate","22,965"
"    Percent","62.0%"
"Magoffin County, Kentucky",""
"    Estimate","3,570"
"    Percent","75.4%"
"Marion County, Kentucky",""
"    Estimate","5,999"
"    Percent","77.7%"
"Marshall County, Kentucky",""
"    Estimate","10,775"
"    Percent","81.6%"
"Martin County, Kentucky",""
"    Estimate","3,272"
"    Percent","84.9%"
"Mason County, Kentucky",""
"    Estimate","4,711"
"    Percent","66.1%"
"Meade County, Kentucky",""
"    Estimate","8,155"
"    Percent","74.1%"
"Menifee County, Kentucky",""
"    Estimate","1,870"
"    Percent","75.5%"
"Mercer County, Kentucky",""
"    Estimate","6,971"
"    Percent","75.9%"
"Metcalfe County, Kentucky",""
"    Estimate","3,185"
"    Percent","77.7%"
"Monroe County, Kentucky",""
"    Estimate","3,293"
"    Percent","70.9%"
"Montgomery County, Kentucky",""
"    Estimate","7,518"
"    Percent","68.3%"
"Morgan County, Kentucky",""
"    Estimate","3,853"
"    Percent","78.9%"
"Muhlenberg County, Kentucky",""
"    Estimate","9,552"
"    Percent","78.8%"
"Nelson County, Kentucky",""
"    Estimate","15,001"
"    Percent","78.3%"
"Nicholas County, Kentucky",""
"    Estimate","2,068"
"    Percent","74.5%"
"Ohio County, Kentucky",""
"    Estimate","7,027"
"    Percent","77.2%"
"Oldham County, Kentucky",""
"    Estimate","20,058"
"    Percent","87.1%"
"Owen County, Kentucky",""
"    Estimate","3,740"
"    Percent","88.0%"
"Owsley County, Kentucky",""
"    Estimate","1,099"
"    Percent","70.1%"
"Pendleton County, Kentucky",""
"    Estimate","4,063"
"    Percent","74.7%"
"Perry County, Kentucky",""
"    Estimate","7,800"
"    Percent","70.4%"
"Pike County, Kentucky",""
"    Estimate","18,287"
"    Percent","75.3%"
"Powell County, Kentucky",""
"    Estimate","3,269"
"    Percent","68.2%"
"Pulaski County, Kentucky",""
"    Estimate","18,996"
"    Percent","72.5%"
"Robertson County, Kentucky",""
"    Estimate","644"
"    Percent","79.5%"
"Rockcastle County, Kentucky",""
"    Estimate","4,857"
"    Percent","74.3%"
"Rowan County, Kentucky",""
"    Estimate","5,901"
"    Percent","61.5%"
"Russell County, Kentucky",""
"    Estimate","5,354"
"    Percent","70.8%"
"Scott County, Kentucky",""
"    Estimate","16,242"
"    Percent","71.7%"
"Shelby County, Kentucky",""
"    Estimate","13,651"
"    Percent","73.9%"
"Simpson County, Kentucky",""
"    Estimate","5,351"
"    Percent","66.7%"
"Spencer County, Kentucky",""
"    Estimate","6,427"
"    Percent","87.9%"
"Taylor County, Kentucky",""
"    Estimate","7,063"
"    Percent","68.8%"
"Todd County, Kentucky",""
"    Estimate","3,466"
"    Percent","76.0%"
"Trigg County, Kentucky",""
"    Estimate","4,663"
"    Percent","76.9%"
"Trimble County, Kentucky",""
"    Estimate","2,696"
"    Percent","79.7%"
"Union County, Kentucky",""
"    Estimate","3,651"
"    Percent","70.2%"
"Warren County, Kentucky",""
"    Estimate","30,964"
"    Percent","55.6%"
"Washington County, Kentucky",""
"    Estimate","3,767"
"    Percent","77.6%"
"Wayne County, Kentucky",""
"    Estimate","5,582"
"    Percent","69.1%"
"Webster County, Kentucky",""
"    Estimate","3,632"
"    Percent","73.8%"
"Whitley County, Kentucky",""
"    Estimate","9,043"
"    Percent","66.8%"
"Wolfe County, Kentucky",""
"    Estimate","1,966"
"    Percent","73.6%"
"Woodford County, Kentucky",""
"    Estimate","7,759"
"    Percent","71.7%"
"Acadia Parish, Louisiana",""
"    Estimate","14,814"
"    Percent","67.0%"
"Allen Parish, Louisiana",""
"    Estimate","5,811"
"    Percent","74.0%"
"Ascension Parish, Louisiana",""
"    Estimate","38,597"
"    Percent","81.0%"
"Assumption Parish, Louisiana",""
"    Estimate","7,489"
"    Percent","84.8%"
"Avoyelles Parish, Louisiana",""
"    Estimate","10,118"
"    Percent","70.1%"
"Beauregard Parish, Louisiana",""
"    Estimate","11,660"
"    Percent","84.8%"
"Bienville Parish, Louisiana",""
"    Estimate","3,901"
"    Percent","70.2%"
"Bossier Parish, Louisiana",""
"    Estimate","33,084"
"    Percent","65.1%"
"Caddo Parish, Louisiana",""
"    Estimate","57,659"
"    Percent","60.2%"
"Calcasieu Parish, Louisiana",""
"    Estimate","56,736"
"    Percent","72.8%"
"Caldwell Parish, Louisiana",""
"    Estimate","2,561"
"    Percent","68.9%"
"Cameron Parish, Louisiana",""
"    Estimate","1,925"
"    Percent","95.4%"
"Catahoula Parish, Louisiana",""
"    Estimate","2,496"
"    Percent","78.0%"
"Claiborne Parish, Louisiana",""
"    Estimate","3,548"
"    Percent","68.8%"
"Concordia Parish, Louisiana",""
"    Estimate","5,031"
"    Percent","74.2%"
"De Soto Parish, Louisiana",""
"    Estimate","8,104"
"    Percent","77.2%"
"East Baton Rouge Parish, Louisiana",""
"    Estimate","105,101"
"    Percent","59.3%"
"East Carroll Parish, Louisiana",""
"    Estimate","1,529"
"    Percent","58.4%"
"East Feliciana Parish, Louisiana",""
"    Estimate","5,481"
"    Percent","85.6%"
"Evangeline Parish, Louisiana",""
"    Estimate","8,321"
"    Percent","66.2%"
"Franklin Parish, Louisiana",""
"    Estimate","5,506"
"    Percent","73.2%"
"Grant Parish, Louisiana",""
"    Estimate","5,909"
"    Percent","79.4%"
"Iberia Parish, Louisiana",""
"    Estimate","18,035"
"    Percent","67.3%"
"Iberville Parish, Louisiana",""
"    Estimate","8,484"
"    Percent","75.1%"
"Jackson Parish, Louisiana",""
"    Estimate","3,904"
"    Percent","70.0%"
"Jefferson Parish, Louisiana",""
"    Estimate","110,857"
"    Percent","62.6%"
"Jefferson Davis Parish, Louisiana",""
"    Estimate","9,302"
"    Percent","77.1%"
"Lafayette Parish, Louisiana",""
"    Estimate","66,072"
"    Percent","65.5%"
"Lafourche Parish, Louisiana",""
"    Estimate","30,164"
"    Percent","79.9%"
"LaSalle Parish, Louisiana",""
"    Estimate","4,067"
"    Percent","80.6%"
"Lincoln Parish, Louisiana",""
"    Estimate","9,938"
"    Percent","53.8%"
"Livingston Parish, Louisiana",""
"    Estimate","43,264"
"    Percent","80.7%"
"Madison Parish, Louisiana",""
"    Estimate","1,622"
"    Percent","53.1%"
"Morehouse Parish, Louisiana",""
"    Estimate","6,698"
"    Percent","68.6%"
"Natchitoches Parish, Louisiana",""
"    Estimate","8,842"
"    Percent","60.9%"
"Orleans Parish, Louisiana",""
"    Estimate","79,744"
"    Percent","51.2%"
"Ouachita Parish, Louisiana",""
"    Estimate","37,489"
"    Percent","61.0%"
"Plaquemines Parish, Louisiana",""
"    Estimate","6,229"
"    Percent","75.8%"
"Pointe Coupee Parish, Louisiana",""
"    Estimate","6,671"
"    Percent","80.0%"
"Rapides Parish, Louisiana",""
"    Estimate","31,735"
"    Percent","64.8%"
"Red River Parish, Louisiana",""
"    Estimate","2,397"
"    Percent","77.3%"
"Richland Parish, Louisiana",""
"    Estimate","4,836"
"    Percent","66.8%"
"Sabine Parish, Louisiana",""
"    Estimate","7,050"
"    Percent","80.3%"
