County,Total civilian noninstitutionalized population
    With a disability,
        Estimate,"3,649"
    Percent with a disability,
        Estimate,16.40%
"Russell County, Alabama",
    Total,
        Estimate,"56,918"
    With a disability,
        Estimate,"11,278"
    Percent with a disability,
        Estimate,19.80%
"St. Clair County, Alabama",
    Total,
        Estimate,"92,023"
    With a disability,
        Estimate,"15,337"
    Percent with a disability,
        Estimate,16.70%
"Shelby County, Alabama",
    Total,
        Estimate,"227,943"
    With a disability,
        Estimate,"27,749"
    Percent with a disability,
        Estimate,12.20%
"Sumter County, Alabama",
    Total,
        Estimate,"11,737"
    With a disability,
        Estimate,"2,496"
    Percent with a disability,
        Estimate,21.30%
"Talladega County, Alabama",
    Total,
        Estimate,"78,235"
    With a disability,
        Estimate,"16,647"
    Percent with a disability,
        Estimate,21.30%
"Tallapoosa County, Alabama",
    Total,
        Estimate,"40,168"
    With a disability,
        Estimate,"8,505"
    Percent with a disability,
        Estimate,21.20%
"Tuscaloosa County, Alabama",
    Total,
        Estimate,"235,544"
    With a disability,
        Estimate,"31,161"
    Percent with a disability,
        Estimate,13.20%
"Walker County, Alabama",
    Total,
        Estimate,"63,953"
    With a disability,
        Estimate,"14,172"
    Percent with a disability,
        Estimate,22.20%
"Washington County, Alabama",
    Total,
        Estimate,"15,018"
    With a disability,
        Estimate,"2,209"
    Percent with a disability,
        Estimate,14.70%
"Wilcox County, Alabama",
    Total,
        Estimate,"9,989"
    With a disability,
        Estimate,"2,112"
    Percent with a disability,
        Estimate,21.10%
"Winston County, Alabama",
    Total,
        Estimate,"23,359"
    With a disability,
        Estimate,"5,359"
    Percent with a disability,
        Estimate,22.90%
"Aleutians East Borough, Alaska",
    Total,
        Estimate,"3,466"
    With a disability,
        Estimate,435
    Percent with a disability,
        Estimate,12.60%
"Aleutians West Census Area, Alaska",
    Total,
        Estimate,"5,083"
    With a disability,
        Estimate,731
    Percent with a disability,
        Estimate,14.40%
"Anchorage Municipality, Alaska",
    Total,
        Estimate,"275,688"
    With a disability,
        Estimate,"34,614"
    Percent with a disability,
        Estimate,12.60%
"Bethel Census Area, Alaska",
    Total,
        Estimate,"18,104"
    With a disability,
        Estimate,"2,168"
    Percent with a disability,
        Estimate,12.00%
"Bristol Bay Borough, Alaska",
    Total,
        Estimate,897
    With a disability,
        Estimate,128
    Percent with a disability,
        Estimate,14.30%
"Chugach Census Area, Alaska",
    Total,
        Estimate,"6,526"
    With a disability,
        Estimate,973
    Percent with a disability,
        Estimate,14.90%
"Copper River Census Area, Alaska",
    Total,
        Estimate,"2,618"
    With a disability,
        Estimate,505
    Percent with a disability,
        Estimate,19.30%
"Denali Borough, Alaska",
    Total,
        Estimate,"1,944"
    With a disability,
        Estimate,166
    Percent with a disability,
        Estimate,8.50%
"Dillingham Census Area, Alaska",
    Total,
        Estimate,"4,703"
    With a disability,
        Estimate,552
    Percent with a disability,
        Estimate,11.70%
"Fairbanks North Star Borough, Alaska",
    Total,
        Estimate,"86,170"
    With a disability,
        Estimate,"12,455"
    Percent with a disability,
        Estimate,14.50%
"Haines Borough, Alaska",
    Total,
        Estimate,"2,075"
    With a disability,
        Estimate,405
    Percent with a disability,
        Estimate,19.50%
"Hoonah-Angoon Census Area, Alaska",
    Total,
        Estimate,"2,311"
    With a disability,
        Estimate,480
    Percent with a disability,
        Estimate,20.80%
"Juneau City and Borough, Alaska",
    Total,
        Estimate,"31,045"
    With a disability,
        Estimate,"3,647"
    Percent with a disability,
        Estimate,11.70%
"Kenai Peninsula Borough, Alaska",
    Total,
        Estimate,"59,171"
    With a disability,
        Estimate,"10,210"
    Percent with a disability,
        Estimate,17.30%
"Ketchikan Gateway Borough, Alaska",
    Total,
        Estimate,"13,430"
    With a disability,
        Estimate,"1,858"
    Percent with a disability,
        Estimate,13.80%
"Kodiak Island Borough, Alaska",
    Total,
        Estimate,"11,633"
    With a disability,
        Estimate,"1,040"
    Percent with a disability,
        Estimate,8.90%
"Kusilvak Census Area, Alaska",
    Total,
        Estimate,"8,163"
    With a disability,
        Estimate,"1,114"
    Percent with a disability,
        Estimate,13.60%
"Lake and Peninsula Borough, Alaska",
    Total,
        Estimate,"1,010"
    With a disability,
        Estimate,116
    Percent with a disability,
        Estimate,11.50%
"Matanuska-Susitna Borough, Alaska",
    Total,
        Estimate,"109,616"
    With a disability,
        Estimate,"15,302"
    Percent with a disability,
        Estimate,14.00%
"Nome Census Area, Alaska",
    Total,
        Estimate,"9,687"
    With a disability,
        Estimate,"1,081"
    Percent with a disability,
        Estimate,11.20%
"North Slope Borough, Alaska",
    Total,
        Estimate,"10,738"
    With a disability,
        Estimate,"1,380"
    Percent with a disability,
        Estimate,12.90%
"Northwest Arctic Borough, Alaska",
    Total,
        Estimate,"7,393"
    With a disability,
        Estimate,868
    Percent with a disability,
        Estimate,11.70%
"Petersburg Borough, Alaska",
    Total,
        Estimate,"3,270"
    With a disability,
        Estimate,513
    Percent with a disability,
        Estimate,15.70%
"Prince of Wales-Hyder Census Area, Alaska",
    Total,
        Estimate,"5,698"
    With a disability,
        Estimate,"1,191"
    Percent with a disability,
        Estimate,20.90%
"Sitka City and Borough, Alaska",
    Total,
        Estimate,"7,945"
    With a disability,
        Estimate,"1,483"
    Percent with a disability,
        Estimate,18.70%
"Skagway Municipality, Alaska",
    Total,
        Estimate,"1,244"
    With a disability,
        Estimate,260
    Percent with a disability,
        Estimate,20.90%
"Southeast Fairbanks Census Area, Alaska",
    Total,
        Estimate,"6,901"
    With a disability,
        Estimate,930
    Percent with a disability,
        Estimate,13.50%
"Wrangell City and Borough, Alaska",
    Total,
        Estimate,"2,065"
    With a disability,
        Estimate,404
    Percent with a disability,
        Estimate,19.60%
"Yakutat City and Borough, Alaska",
    Total,
        Estimate,522
    With a disability,
        Estimate,63
    Percent with a disability,
        Estimate,12.10%
"Yukon-Koyukuk Census Area, Alaska",
    Total,
        Estimate,"5,174"
    With a disability,
        Estimate,954
    Percent with a disability,
        Estimate,18.40%
"Apache County, Arizona",
    Total,
        Estimate,"64,654"
    With a disability,
        Estimate,"8,554"
    Percent with a disability,
        Estimate,13.20%
"Cochise County, Arizona",
    Total,
        Estimate,"117,980"
    With a disability,
        Estimate,"22,618"
    Percent with a disability,
        Estimate,19.20%
"Coconino County, Arizona",
    Total,
        Estimate,"143,817"
    With a disability,
        Estimate,"19,297"
    Percent with a disability,
        Estimate,13.40%
"Gila County, Arizona",
    Total,
        Estimate,"52,766"
    With a disability,
        Estimate,"12,118"
    Percent with a disability,
        Estimate,23.00%
"Graham County, Arizona",
    Total,
        Estimate,"36,627"
    With a disability,
        Estimate,"5,899"
    Percent with a disability,
        Estimate,16.10%
"Greenlee County, Arizona",
    Total,
        Estimate,"9,382"
    With a disability,
        Estimate,"1,466"
    Percent with a disability,
        Estimate,15.60%
"La Paz County, Arizona",
    Total,
        Estimate,"16,570"
    With a disability,
        Estimate,"3,851"
    Percent with a disability,
        Estimate,23.20%
"Maricopa County, Arizona",
    Total,
        Estimate,"4,517,431"
    With a disability,
        Estimate,"549,133"
    Percent with a disability,
        Estimate,12.20%
"Mohave County, Arizona",
    Total,
        Estimate,"216,573"
    With a disability,
        Estimate,"47,345"
    Percent with a disability,
        Estimate,21.90%
"Navajo County, Arizona",
    Total,
        Estimate,"106,124"
    With a disability,
        Estimate,"18,614"
    Percent with a disability,
        Estimate,17.50%
"Pima County, Arizona",
    Total,
        Estimate,"1,038,236"
    With a disability,
        Estimate,"156,042"
    Percent with a disability,
        Estimate,15.00%
"Pinal County, Arizona",
    Total,
        Estimate,"452,911"
    With a disability,
        Estimate,"77,724"
    Percent with a disability,
        Estimate,17.20%
"Santa Cruz County, Arizona",
    Total,
        Estimate,"48,839"
    With a disability,
        Estimate,"6,493"
    Percent with a disability,
        Estimate,13.30%
"Yavapai County, Arizona",
    Total,
        Estimate,"244,073"
    With a disability,
        Estimate,"45,321"
    Percent with a disability,
        Estimate,18.60%
"Yuma County, Arizona",
    Total,
        Estimate,"201,860"
    With a disability,
        Estimate,"27,425"
    Percent with a disability,
        Estimate,13.60%
"Arkansas County, Arkansas",
    Total,
        Estimate,"16,290"
    With a disability,
        Estimate,"3,395"
    Percent with a disability,
        Estimate,20.80%
"Ashley County, Arkansas",
    Total,
        Estimate,"18,240"
    With a disability,
        Estimate,"4,606"
    Percent with a disability,
        Estimate,25.30%
"Baxter County, Arkansas",
    Total,
        Estimate,"42,011"
    With a disability,
        Estimate,"10,730"
    Percent with a disability,
        Estimate,25.50%
"Benton County, Arkansas",
    Total,
        Estimate,"302,003"
    With a disability,
        Estimate,"30,450"
    Percent with a disability,
        Estimate,10.10%
"Boone County, Arkansas",
    Total,
        Estimate,"37,780"
    With a disability,
        Estimate,"7,369"
    Percent with a disability,
        Estimate,19.50%
"Bradley County, Arkansas",
    Total,
        Estimate,"10,133"
    With a disability,
        Estimate,"2,337"
    Percent with a disability,
        Estimate,23.10%
"Calhoun County, Arkansas",
    Total,
        Estimate,"4,642"
    With a disability,
        Estimate,"1,032"
    Percent with a disability,
        Estimate,22.20%
"Carroll County, Arkansas",
    Total,
        Estimate,"28,356"
    With a disability,
        Estimate,"4,610"
    Percent with a disability,
        Estimate,16.30%
"Chicot County, Arkansas",
    Total,
        Estimate,"9,003"
    With a disability,
        Estimate,"2,132"
    Percent with a disability,
        Estimate,23.70%
"Clark County, Arkansas",
    Total,
        Estimate,"20,902"
    With a disability,
        Estimate,"3,983"
    Percent with a disability,
        Estimate,19.10%
"Clay County, Arkansas",
    Total,
        Estimate,"14,170"
    With a disability,
        Estimate,"3,113"
    Percent with a disability,
        Estimate,22.00%
"Cleburne County, Arkansas",
    Total,
        Estimate,"24,949"
    With a disability,
        Estimate,"5,578"
    Percent with a disability,
        Estimate,22.40%
"Cleveland County, Arkansas",
    Total,
        Estimate,"7,376"
    With a disability,
        Estimate,"1,813"
    Percent with a disability,
        Estimate,24.60%
"Columbia County, Arkansas",
    Total,
        Estimate,"21,992"
    With a disability,
        Estimate,"4,445"
    Percent with a disability,
        Estimate,20.20%
"Conway County, Arkansas",
    Total,
        Estimate,"20,916"
    With a disability,
        Estimate,"4,632"
    Percent with a disability,
        Estimate,22.10%
"Craighead County, Arkansas",
    Total,
        Estimate,"112,159"
    With a disability,
        Estimate,"21,915"
    Percent with a disability,
        Estimate,19.50%
"Crawford County, Arkansas",
    Total,
        Estimate,"60,399"
    With a disability,
        Estimate,"11,813"
    Percent with a disability,
        Estimate,19.60%
"Crittenden County, Arkansas",
    Total,
        Estimate,"46,576"
    With a disability,
        Estimate,"8,197"
    Percent with a disability,
        Estimate,17.60%
"Cross County, Arkansas",
    Total,
        Estimate,"16,381"
    With a disability,
        Estimate,"3,067"
    Percent with a disability,
        Estimate,18.70%
"Dallas County, Arkansas",
    Total,
        Estimate,"5,991"
    With a disability,
        Estimate,"1,911"
    Percent with a disability,
        Estimate,31.90%
"Desha County, Arkansas",
    Total,
        Estimate,"10,742"
    With a disability,
        Estimate,"2,380"
    Percent with a disability,
        Estimate,22.20%
"Drew County, Arkansas",
    Total,
        Estimate,"16,773"
    With a disability,
        Estimate,"3,551"
    Percent with a disability,
        Estimate,21.20%
"Faulkner County, Arkansas",
    Total,
        Estimate,"126,192"
    With a disability,
        Estimate,"18,180"
    Percent with a disability,
        Estimate,14.40%
"Franklin County, Arkansas",
    Total,
        Estimate,"17,115"
    With a disability,
        Estimate,"3,710"
    Percent with a disability,
        Estimate,21.70%
"Fulton County, Arkansas",
    Total,
        Estimate,"12,152"
    With a disability,
        Estimate,"3,171"
    Percent with a disability,
        Estimate,26.10%
"Garland County, Arkansas",
    Total,
        Estimate,"99,080"
    With a disability,
        Estimate,"22,161"
    Percent with a disability,
        Estimate,22.40%
"Grant County, Arkansas",
    Total,
        Estimate,"18,045"
    With a disability,
        Estimate,"3,439"
    Percent with a disability,
        Estimate,19.10%
"Greene County, Arkansas",
    Total,
        Estimate,"45,931"
    With a disability,
        Estimate,"9,707"
    Percent with a disability,
        Estimate,21.10%
"Hempstead County, Arkansas",
    Total,
        Estimate,"19,321"
    With a disability,
        Estimate,"4,642"
    Percent with a disability,
        Estimate,24.00%
"Hot Spring County, Arkansas",
    Total,
        Estimate,"30,844"
    With a disability,
        Estimate,"7,212"
    Percent with a disability,
        Estimate,23.40%
"Howard County, Arkansas",
    Total,
        Estimate,"12,396"
    With a disability,
        Estimate,"2,513"
    Percent with a disability,
        Estimate,20.30%
"Independence County, Arkansas",
    Total,
        Estimate,"37,682"
    With a disability,
        Estimate,"7,345"
    Percent with a disability,
        Estimate,19.50%
"Izard County, Arkansas",
    Total,
        Estimate,"12,893"
    With a disability,
        Estimate,"3,049"
    Percent with a disability,
        Estimate,23.60%
"Jackson County, Arkansas",
    Total,
        Estimate,"14,366"
    With a disability,
        Estimate,"3,251"
    Percent with a disability,
        Estimate,22.60%
"Jefferson County, Arkansas",
    Total,
        Estimate,"60,258"
    With a disability,
        Estimate,"12,383"
    Percent with a disability,
        Estimate,20.50%
"Johnson County, Arkansas",
    Total,
        Estimate,"25,779"
    With a disability,
        Estimate,"5,490"
    Percent with a disability,
        Estimate,21.30%
"Lafayette County, Arkansas",
    Total,
        Estimate,"6,059"
    With a disability,
        Estimate,"1,468"
    Percent with a disability,
        Estimate,24.20%
"Lawrence County, Arkansas",
    Total,
        Estimate,"16,042"
    With a disability,
        Estimate,"3,884"
    Percent with a disability,
        Estimate,24.20%
"Lee County, Arkansas",
    Total,
        Estimate,"6,811"
    With a disability,
        Estimate,"1,908"
    Percent with a disability,
        Estimate,28.00%
"Lincoln County, Arkansas",
    Total,
        Estimate,"8,701"
    With a disability,
        Estimate,"1,620"
    Percent with a disability,
        Estimate,18.60%
"Little River County, Arkansas",
    Total,
        Estimate,"11,672"
    With a disability,
        Estimate,"2,054"
    Percent with a disability,
        Estimate,17.60%
"Logan County, Arkansas",
    Total,
        Estimate,"21,076"
    With a disability,
        Estimate,"4,428"
    Percent with a disability,
        Estimate,21.00%
"Lonoke County, Arkansas",
    Total,
        Estimate,"73,045"
    With a disability,
        Estimate,"11,445"
    Percent with a disability,
        Estimate,15.70%
"Madison County, Arkansas",
    Total,
        Estimate,"17,235"
    With a disability,
        Estimate,"3,431"
    Percent with a disability,
        Estimate,19.90%
"Marion County, Arkansas",
    Total,
        Estimate,"17,078"
    With a disability,
        Estimate,"4,244"
    Percent with a disability,
        Estimate,24.90%
"Miller County, Arkansas",
    Total,
        Estimate,"41,257"
    With a disability,
        Estimate,"8,368"
    Percent with a disability,
        Estimate,20.30%
"Mississippi County, Arkansas",
    Total,
        Estimate,"38,303"
    With a disability,
        Estimate,"8,786"
    Percent with a disability,
        Estimate,22.90%
"Monroe County, Arkansas",
    Total,
        Estimate,"6,506"
    With a disability,
        Estimate,"1,596"
    Percent with a disability,
        Estimate,24.50%
"Montgomery County, Arkansas",
    Total,
        Estimate,"8,449"
    With a disability,
        Estimate,"2,356"
    Percent with a disability,
        Estimate,27.90%
"Nevada County, Arkansas",
    Total,
        Estimate,"7,998"
    With a disability,
        Estimate,"1,991"
    Percent with a disability,
        Estimate,24.90%
"Newton County, Arkansas",
    Total,
        Estimate,"7,046"
    With a disability,
        Estimate,"1,342"
    Percent with a disability,
        Estimate,19.00%
"Ouachita County, Arkansas",
    Total,
        Estimate,"21,743"
    With a disability,
        Estimate,"5,817"
    Percent with a disability,
        Estimate,26.80%
"Perry County, Arkansas",
    Total,
        Estimate,"10,007"
    With a disability,
        Estimate,"2,111"
    Percent with a disability,
        Estimate,21.10%
"Phillips County, Arkansas",
    Total,
        Estimate,"15,286"
    With a disability,
        Estimate,"3,812"
    Percent with a disability,
        Estimate,24.90%
"Pike County, Arkansas",
    Total,
        Estimate,"9,979"
    With a disability,
        Estimate,"1,930"
    Percent with a disability,
        Estimate,19.30%
"Poinsett County, Arkansas",
    Total,
        Estimate,"22,265"
    With a disability,
        Estimate,"5,669"
    Percent with a disability,
        Estimate,25.50%
"Polk County, Arkansas",
    Total,
        Estimate,"19,210"
    With a disability,
        Estimate,"4,161"
    Percent with a disability,
        Estimate,21.70%
"Pope County, Arkansas",
    Total,
        Estimate,"63,577"
    With a disability,
        Estimate,"11,282"
    Percent with a disability,
        Estimate,17.70%
"Prairie County, Arkansas",
    Total,
        Estimate,"7,906"
    With a disability,
        Estimate,"1,807"
    Percent with a disability,
        Estimate,22.90%
"Pulaski County, Arkansas",
    Total,
        Estimate,"392,602"
    With a disability,
        Estimate,"62,841"
    Percent with a disability,
        Estimate,16.00%
"Randolph County, Arkansas",
    Total,
        Estimate,"18,518"
    With a disability,
        Estimate,"4,563"
    Percent with a disability,
        Estimate,24.60%
"St. Francis County, Arkansas",
    Total,
        Estimate,"19,529"
    With a disability,
        Estimate,"4,640"
    Percent with a disability,
        Estimate,23.80%
"Saline County, Arkansas",
    Total,
        Estimate,"126,165"
    With a disability,
        Estimate,"20,120"
    Percent with a disability,
        Estimate,15.90%
"Scott County, Arkansas",
    Total,
        Estimate,"9,728"
    With a disability,
        Estimate,"1,913"
    Percent with a disability,
        Estimate,19.70%
"Searcy County, Arkansas",
    Total,
        Estimate,"7,771"
    With a disability,
        Estimate,"1,987"
    Percent with a disability,
        Estimate,25.60%
"Sebastian County, Arkansas",
    Total,
        Estimate,"127,405"
    With a disability,
        Estimate,"28,497"
    Percent with a disability,
        Estimate,22.40%
"Sevier County, Arkansas",
    Total,
        Estimate,"15,609"
    With a disability,
        Estimate,"2,789"
    Percent with a disability,
        Estimate,17.90%
"Sharp County, Arkansas",
    Total,
        Estimate,"17,580"
    With a disability,
        Estimate,"4,323"
    Percent with a disability,
        Estimate,24.60%
"Stone County, Arkansas",
    Total,
        Estimate,"12,470"
    With a disability,
        Estimate,"3,534"
    Percent with a disability,
        Estimate,28.30%
"Union County, Arkansas",
    Total,
        Estimate,"37,429"
    With a disability,
        Estimate,"6,513"
    Percent with a disability,
        Estimate,17.40%
"Van Buren County, Arkansas",
    Total,
        Estimate,"15,868"
    With a disability,
        Estimate,"3,902"
    Percent with a disability,
        Estimate,24.60%
"Washington County, Arkansas",
    Total,
        Estimate,"254,656"
    With a disability,
        Estimate,"28,089"
    Percent with a disability,
        Estimate,11.00%
"White County, Arkansas",
    Total,
        Estimate,"77,296"
    With a disability,
        Estimate,"15,749"
    Percent with a disability,
        Estimate,20.40%
"Woodruff County, Arkansas",
    Total,
        Estimate,"5,918"
    With a disability,
        Estimate,"1,136"
    Percent with a disability,
        Estimate,19.20%
"Yell County, Arkansas",
    Total,
        Estimate,"19,864"
    With a disability,
        Estimate,"3,330"
    Percent with a disability,
        Estimate,16.80%
"Alameda County, California",
    Total,
        Estimate,"1,638,900"
    With a disability,
        Estimate,"169,293"
    Percent with a disability,
        Estimate,10.30%
"Alpine County, California",
    Total,
        Estimate,"1,616"
    With a disability,
        Estimate,185
    Percent with a disability,
        Estimate,11.40%
"Amador County, California",
    Total,
        Estimate,"37,999"
    With a disability,
        Estimate,"6,157"
    Percent with a disability,
        Estimate,16.20%
"Butte County, California",
    Total,
        Estimate,"205,896"
    With a disability,
        Estimate,"33,608"
    Percent with a disability,
        Estimate,16.30%
"Calaveras County, California",
    Total,
        Estimate,"45,930"
    With a disability,
        Estimate,"9,335"
    Percent with a disability,
        Estimate,20.30%
"Colusa County, California",
    Total,
        Estimate,"21,764"
    With a disability,
        Estimate,"2,635"
    Percent with a disability,
        Estimate,12.10%
"Contra Costa County, California",
    Total,
        Estimate,"1,160,014"
    With a disability,
        Estimate,"128,890"
    Percent with a disability,
        Estimate,11.10%
"Del Norte County, California",
    Total,
        Estimate,"24,764"
    With a disability,
        Estimate,"5,215"
    Percent with a disability,
        Estimate,21.10%
"El Dorado County, California",
    Total,
        Estimate,"191,763"
    With a disability,
        Estimate,"24,191"
    Percent with a disability,
        Estimate,12.60%
"Fresno County, California",
    Total,
        Estimate,"1,004,601"
    With a disability,
        Estimate,"133,691"
    Percent with a disability,
        Estimate,13.30%
"Glenn County, California",
    Total,
        Estimate,"28,314"
    With a disability,
        Estimate,"4,047"
